idFrame,idEntity,entry,definition
1370,24018,"Basis_for_attribute","A piece of information about a #Landmark is presented as more accessible and useful for determining or communicating a similar type of information about the #Trajector.  In this construal of a situation, there is a (more) profiled element, the #Trajector, and an un- or less profiled element, the #Landmark.  In combination with a schematically-defined #Profiled_region (with a pre-defined relationship to the #Landmark), the #Landmark serves as the basis for understanding the status or location of the #Trajector.

<ex>[The cat|Trajector] [in|Target] [the shed|Landmark] purred violently .</ex>
<ex>[The shed|Trajector] [around|Target] [the cat|Landmark] shook .</ex>
<ex>We 'll have to [leave|Trajector] [before|Target] [noon|Landmark] .</ex>
<ex>In the 1990s , though , [the rate at which DNA could be read|Trajector] revved [into|Target] [high gear|Landmark] .</ex>
"
929,4114,"Beat_opponent","A #Winner has victory over an #Loser.

<ex>[He|Winner] [always|Frequency] [beats|Target] [me|Loser] [at chess|Competition].</ex>"
1473,1549499,"Becoming_a_patient",""
1371,24019,"Becoming_silent","In this frame a #Speaker ceases speaking, sometimes about a particular #Topic. An #Expressor may also be indicated.
<ex></ex>
The words of this frame are very frequently used imperatively, to the extent that certain words and phrases (<ment>not another word, silence, shhh</ment>) can only be used this way.

<ex>Finally, [Jan|Speaker] [shut|Target] [up|Target] [about his car accident|Topic].</ex>
<ex>[The children's laughter|Expressor] [quieted|Target] [down|Target].</ex>
<ex>Somehow, [he|Speaker] managed to [hold|Target] [his|Speaker] [tongue|Target].</ex>"
378,3563,"Behind_the_scenes","#Artists work at various tasks that further the completion of a film, play, television show, or other similar #Production.  #Artists never appear on stage or in front of a camera.  Some (e.g., a director) may interact with the actors (on-screen participants) of the #Production.  Often times a particular #Production is made for distribution by a #Distributor, by a particular #Studio, or in a specific #Medium.  The #Artists may be categorized into #Type or work in specific #Medium.
<ex>[Steven Spielberg|Artist] [directed|Target] [several films|Production] [for Universal Pictures|Studio].</ex>
<ex>[Universal Pictures and Amblin Entertainment|Studio] [produced|Target] [Jurassic Park|Production] [for MCA|Distributor].</ex>
<ex>Surprisingly, this [film|Medium] [[producer|Target]|Artist] was willing to work for a cable company.</ex>
<ex>[Independent|Type] [[producers|Target]|Artist] often win big at smaller film festivals.</ex>"
205,3390,"Being_named","This frame concerns entities conventionally being referred to by particular names.

<ex>[Her|Entity] [name|Target] <m>was</m> [Lola|Name].</ex>
"
1373,24021,"Being_questionable","In this frame, an #Entity or #Behavior is suspicious or otherwise subject to question.  The general implication is that the #Entity or #Behavior provides evidence for some (as yet unproven) socially undesirable conclusion about a (usually implicit) #Social_actor.  (Such conclusions often include the idea that some individual is lying, or that a crime was committed.)
<ex>We found some [suspicious|Target] [checks|Entity] lying on his desk.</ex>
<ex>It <m>was</m> rather [suspicious|Target] [of you|soc] [to leave the party just before the police arrived|Behavior].</ex>
"
328,3513,"Beyond_compare","Compared to its #Competitors, a #Standard is at the high end of a scale with respect to some #Variable. The #Competitors are frequently not realized syntactically.
<ex>The taxpayer is supporting [a system|Standard] [unmatched|Target] [in wastefulness |Variable].</ex>
<ex>The drawing room was a place of [unmatched|Target] [squalor|Variable].</ex>
<ex> She was envious of her mother's [matchless|Target] [beauty|Variable].</ex>

<ex></ex>When there is no overt #Variable it must be understood from the context. <ex>[He|Standard] was [unmatched|Target]  [ by any other  politician of his time|Competitors].</ex>

<ex></ex>When the target occurs as the modifier of a predicate nominal, it  is tagged as #Standard, rather than #Variable.
 <ex>They were [matchless|Target] [needlers of each other|Standard].</ex>"
755,3940,"Be_translation_equivalent","A #Target_symbol in a #Target_representation  system is presented as equivalent to a #Source_symbol in a #Source_representation system in the ability to express a particular #Content.

<ex>[The term employment area|Target_symbol] [translates|Target] [the French zone d'emploi|Source_symbol].</ex>
<ex>The term employment area [translates|Target] [the French|Source_representation] zone d'emploi.</ex>

<ex>[The term|Target_symbol] [translates|Target] [the Russian raznorechie (literally """"different-speech-ness"""")|Source_symbol].</ex>
<ex>The term [translates|Target] the [Russian|Source_representation] raznorechie (literally """"different-speech-ness"""".</ex>"
1374,24022,"Billing","A #Billing_authority communicates in written form that the #Debtor owes the #Owed_party (often the same as the #Billing_authority) some amount of #Money for certain #Goods (including services) provided by the #Owed_party or to clear a debt for a #Bad_action by the #Debtor against the #Owed_party."
1157,4342,"Biological_mechanisms","A trigger mechanism brings about a change in a biological system.

<ex>[The reflex|Trigger] [increases|Target] [cardiac output|Systemic_effect].</ex>"
745,3930,"Board_vehicle","A #Traveller boards a #Vehicle that they intend to use as a means of transportation either as a passenger or as a driver.

<ex>On the 5th of December, 1834, [we|tra] [embarked|Target] [on board the merchant ship Hellespont|Vehicle].</ex>

<ex>[She|Traveller] [boarded|Target] [the train|Vehicle] [ahead of him|Time].</ex>

<ex>[On 19 September|Time] [the battalion|Traveller] [embussed|Target] and headed southward into the Swordfish training area some 40 miles away.</ex>"
11,3196,"Body_movement","This frame contains words for motions or actions an #Agent performs using some part of his/her body. Most words that evoke this frame have a specific motion of a specific #Body_part associated with them, but a few are more general (e.g. <m>move.v</m>).

A number of words in this frame occur as blends with Communication, in which the action has an #Addressee.  For example,

<ex>Pat [nodded|Target] [at Kim|Addressee].</ex>

These examples differ from Communication.Gesture in that no specific message need be expressed, as in
<ex>She [nodded|Target] to him to sit down.</ex>

Since this frame involves a particular type of motion, it contains the frame elements #Source, #Path, #Goal and #Area, which originate in the motion frame.  All of these frame elements are generally expressed in PP Complements.
<ex>The boy [swung|Target] his legs [from under the table|Source].</ex>"
1375,24023,"Body_parts","This frame covers words for #Body_parts belonging to a #Possessor, which may be characterized by a #Descriptor. The location of the #Body_partmay be identified in terms of  its #Attachment or its #Orientational_location.  A #Subregion of a #Body_part may also be indicated.
<ex></ex>
<ex>He had to brace [his|Possessor] [right|Orientational_location] [[arm|Body_part]|Target] against his leg in order to fight the roll.</ex>

<ex>The dog measured [its|Possessor] [blond|Descriptor] [[belly|Body_part]|Target] in the mud.</ex>

<ex></ex>"
1014,4199,"Bond_maturation","A #Financial_instrument (a bond or insurance) fulfills a condition at a certain #Time after which the #Issuer of the #Financial_instrument is legally obligated to pay the #Holder a monetary #Value, based on the instrument's original #Principle and the #Interest rate.

<ex>[The bond|Financial_instrument] had [matured|Target] [to its full value|Value] [at 30 years|].</ex>"
396,3581,"Boulder","This is an abstract frame for events which allows annotation of verbal targets according to the reduced, general set of frame elements proposed by the Boulder group.
<ex>[Belli 's clients|Eq1] have [included|Target] [Jack Ruby ... and Jim and Tammy Baker|Eq2].</ex>"
301,3486,"Boundary","This frame contains words that describe a #Boundary between two #Entities.  In many cases, the #Boundary is the border between an #Entity and some unnamed space, generally conceived of as empty.

<ex>[The canyon|Boundary] is the [border|Target] [between the two states|Entities].</ex>"
247,3432,"Breathing","An #Agent causes #Air to move in a direction, usually specifying either in or out of the body.

<ex>[Lee|Agent] [breathed|Target] [the hot desert air|Air].</ex>"
216,3401,"Bringing","This frame concerns the movement of a #Theme and an #Agent and/or #Carrier.   The #Agent, a person or other sentient entity, controls the shared #Path by moving the #Theme during the motion. In other words, the #Agent has overall motion in directing the motion of the #Theme.  The #Carrier may be a separate entity, or it may be the #Agent's body. The #Constant_location may be a subregion of the #Agent's body or (a subregion of) a vehicle that the #Agent uses.

<ex>[Karl|Agent] [carried|Target] [the books|Theme] [across campus|Path] [to the library|goa] [on his head|CL].</ex>
<ex>[Karl|Agent] [carried|Target] [the books|Theme] [across campus|Path] [to the library|goa] [in his truck|CL].</ex>
<ex>[Karl|Agent] [carried|Target] [the books|Theme] [across campus|Path] [to the library|goa] [by truck|Carrier].</ex>
<ex>[The truck|Carrier] [carried|Target] [the books|Theme] [across campus|Path] [to the library|goa] [in specially designed boxes|CL].</ex>
The  FEs include #Path, #Goal, and #Source.  #Area is an area that contains the motion when the path is understood as irregular.
This frame emphasizes the path of movement as opposed to the FEs Source or Goal as in Filling or Placing. "
241,3426,"Bungling","An #Agent performs an #Action incorrectly, resulting in some undesirable result or, at best, achieving some part of the desired result but not in a desirable way.  The affected #Patient may be mentioned metonymically for the #Action.  In place of both of these, a #Topic can describe some general field in which an #Agent makes an error or errors.

<ex>[Mickey|Agent] [botched|Target] [that swing|Action].</ex>
<ex>[Julia|Agent] [bungled|Target] [the cake|Patient].</ex>
"
26,3211,"Candidness","This frame contains adjectives and nouns that describe the truth or sincerity of communication. These words, analogously to behaver-evaluating words, can apply either to #Speakers or to the #Messages they produce. They can occur with <ment>about</ment>-PPs expressing #Topic.

<ex>[Evelyn|Speaker] was [candid|Target] [with me|Addressee] [about the party|Topic].</ex>"
1123,4308,"Capital_stock","This frame concerns #Stock, a purchasable and sellable asset representing a #Shareholder's share in a company (the #Issuer). #Stock entitles the #Shareholder to profits of the #Issuer company, as determined by the governing board of the #Issuer company. LUs in this frame can denote the type of capital stock investment into a business (common or preferred) or the investment itself.  Common stock is also known as ordinary stock or voting stock.

<ex>[My|Shareholder] [ten|amt] [preferred|Type] [[shares|Target]|Stock] [in Google|Issuer] are worth more than your ten common shares in Apple.</ex>
"
196,3381,"Cardinal_numbers","This frame presents a situation where there is a certain #Number of instances of an #Entity or a certain #Number that quantifies a #Unit. Numbers are used to count any kind of #Entity that has distinct individuals, or alternatively, to count #Units whose own function is to quantify some property, with the #Number associated with each word of this frame differentiating groups, individuals, parts of individual #Entitys of different sizes, or to differentiate the quantity of the #Units. A countable #Entity prototypically occupies its own space separately from other instances of the #Entity, and each instance of the #Entity has specific kinds of parts or substance or characteristics as specified by the kind of #Entity it is described as.   #Units (e.g., hours, inches, dozens) have the function of quantifying some property and as a result, naturally occur with a #Number to say how the current property compares to the standard quantification of the #Unit.  Less prototypical numbers, which occur much more frequently with #Units rather than #Entitys, describe situations with less than a whole #Unitor #Entity (half.n), or the lack of a #Unit or #Entity (zero.num).
<ex></ex>
There is also a #Precision associated with the #Number. In most cases, there is a certain amount of imprecision in the #Number that is assumed, especially for so-called """"round"""" numbers like twenty.num or hundred.num, and for the class of approximate numbers, like couple.n; for other numbers, e.g. two.num, the expected precision is very high. Separately from this inherent possibility of precision or imprecision, numbers may be modified by an explicit specification of their #Precision, with phrases like """"about"""", etc.

<ex>Only [[two|Target]|Number] [senators|Entity] voted in support of the president .</ex>
<ex>Dr. Malik has confined [almost|Precision] a [[score|Target]|Num] [of such unfortunates|Entity] in his basement, you know.</ex>
<ex>We endured [[forty|Target]|Number] [days of snow|Entity] .</ex>
<ex>There were [[thirty|Num]|Target] [of the little blue creatures|Entity] staring up at him.</ex>
<ex>She had only two pieces of Halloween candy left, but I still had [[ten|Target]|Number]! [DNI|Entity]</ex>
<ex>The ship was [[three|Target]|Number] [degrees|Unit] off course .</ex>

<ex></ex>
This frame includes extrathematic FEs for a set of non-lexical constructions that put together quantifying expressions.  Firstly, a #Number may itself be quantified by having a certain #Multiplier, e.g. """"three hundred"""".  Secondly, a sequence of numerical expressions may be strung together, with or without """"and"""", to produce a #Composite_number representing a #Number that is the sum of the constituent numbers and that collectively modifies the #Entity or #Unit.

<ex>Stephen has more than [five|mul] [[hundred|Number]|Target] in his closet! [DNI|Entity]</ex>
<ex></ex>
<ex></ex>
As can be seen in the first of the next two examples, when the target is a number in front of another number in the function of a #Multiplier, we consider the number it is modifying to be a #Unit:

<ex>There are just over [[six|Target]|Number] [billion|Unit] people in the world today.</ex>
<ex>There are [just over|deg] [six|Multiplier] [[billion|Num]|Target] [people|Entity] in the world today.</ex>

The relationship between numbers, as lexical units in this frame, and the broader category of numbers is a complex one.  In particular, there is a semiotic system that arranges the tiny set of numeral symbols (0, 1, 2 ... 9), with some additional symbols (commas, decimal points, fraction lines, scientific notation of exponents) to generate a standard representation for numbers that, while not universal, is at least language independent.  Our description of numbers is focused on the English system of numbers, as would occur in the spoken language or in pronunciations (actually decodings) of written numerals in English.  Since numerals are well-understood by virtually all speakers of most languages, and are well-processed by computers, we do not view the description of these structures in FrameNet as necessary.  As a convenience, we include numerals as wordforms when they coincide with a basic number word of English (e.g., """"3"""" is a wordform of three.num).
<ex></ex>
Of more interest for the FrameNet Project is the large number of idiosyncrasies in the constructions that use numbers, very few of which will be well-exemplified in our annotation.  These include indications of range (from ... to), approximation (in the neighborhood of), and descriptions of group properties (""""A whopping [three|Target] singers showed up"""")

<ex></ex>

Technical note: The frame as currently devised does not distinguish between """"six apples"""" and """"six of the apples"""".  It is clear that in the first case, we are talking about six entities that fit whatever properties apples have.  In the second case, however, there is a specific set of apples that was already under discussion, and the six apples are members of this set.  There is a way of understanding this second case in terms of the first, namely, that """"six of the apples"""" is interpreted as six entities with the property of being members of the given set of apples.  Since understanding the second case involves an additional notion of set membership, this could be indicated with a different FE than any we currently have in this frame, perhaps *Set, which is in an exclusion relation with Entity.  However, the major semantic distinction between these two types of #Entity is whether there is a definite set, and this distinction is independently indicated by the definite article in examples like """"six of the apples"""".


"
821,4006,"Carry_goods","A Distributor sells, lends, or otherwise distributes a class of Goods. In the prototypical case, the Distributor is a retailer who generally keeps some type of Goods on site for the purpose of selling it to a buyer. Extensions include lending Goods (e.g., libraries, movie rental outlets), organization-internal distribution (as in a hospital), or other non-commercial distribution centers. The Goods are constrained to be a type of item (e.g., <ment>canned goods</ment>, <ment>antique dressers</ment>) rather than a particular or unique item (e.g., <ment>Smith's last self-portrait</ment>, <ment>that guitar I saw here last week</ment>). Note that a Distributor may <ment>carry</ment> some particular goods, but may not have it <ment>on hand</ment> at that exact moment.

<ex>[Trader Joe's|Distributor] [carries|Target] [a wide variety of foods, drinks, and househole necessities|Goods].</ex>"
104,3289,"Catastrophe","The words in this frame involve an #Undesirable_event which affects the #Patient negatively.  No agent need be involved. <ex></ex> <ex>The first [calamity|Target] <m>was</m> [a disastrous trade war with Holland|Undesirable_event].</ex>  <ex>It is sad to have to make a living by grubbing around in the dirt of a [national|Patient] [[calamity|Undesirable_event]|Target].</ex>  <ex>[The result|Undesirable_event] has been [catastrophic|Target].</ex>"
16,3201,"Categorization","A #Cognizer construes an #Item as belonging to a certain #Category.  In this process, the #Cognizer may either passively perceive the #Item and note that it fits the #Criteria for a #Category, or, alternatively, actively examine the #Item for certain #Criteria that define a #Category (or set of #Categorys).

Most members of the frame can also describe a resulting cognitive state of the #Cognizer with respect to the #Item and #Category which no longer requires the current perception or consideration of the #Item.  A few LUs (e.g. <ment>peg.v, pigeonhole.v</ment>) do not readily allow stative interpretation, and a few LUs (e.g. <ment>deem.v, regard.v</ment>) only allow stative interpretation.

<ex>[You|Cognizer] 've already [stereotyped|Target] [me|Item] [as a bimbo|Category], have n't you?</ex>"
1149,4334,"Cause_benefit_or_detriment","A #Beneficial_situation causes an improvement in a #Benefitted_situation.  In many cases, a #Beneficiary (an individual postively affected by the #Benefitted_situation) is mentioned instead of or in addition to the #Benefitted_situation.  In some cases, a #Benefactor brings about the #Beneficial_situation and is mentioned in its place. Some lexical units of this frame are marked with the semantic type """"Negative"""", indicating a disimprovement of the #Benefitted_situation.
<ex></ex>

<ex>[These tax cuts|Beneficial_situation] [benefit|Target] [the poor|Beneficiary] .</ex>
<ex>[The Chinese group|Benefactor] probably [benefitted|Target] [us|Beneficiary] [with their quick action|Means] [more than the other way round|Degree] .</ex>
<ex>[Most petrochemicals|Beneficial_situation] are [detrimental|Target] [to human health|Benefitted_situation] .</ex>

In many cases, a #Beneficial_situation FE also contains a mention of a #Benefactor, in which case we use dual FE-layer annotation to indicate both FEs:

<ex>[The foundation's 50m donation|Beneficial_situation] [benefits|Target] [the country's educational system|Beneficiary] [immensely|Degree].</ex>
<ex>[The foundation's|Benefactor]</ex>

<ex>[His presence|Beneficial_situation] at the summit was [massively|Degree] [detrimental|Target] [to diplomatic relations|Beneficiary] .</ex>
<ex>[His|Benefactor]</ex>


<ex></ex>


Unlike in Commerce_scenario, the recipient is not presented as paying for the good or service that they receive.
<ex></ex>
Targets from the Cause_harm frame (e.g., injure.v) and from the Damaging frame (e.g. damage.n) are very frequently used metaphorically to indicate the opposite of the Conferring_benefit frame.  These should be annotated in the Cause_harm and Damaging frames and marked with the Metaphor sentence tag."
1470,1549390,"Cause_health_condition",""
1171,4356,"Cause_to_burn","A #Cause event brings about and potentially maintains the burning of #Flammables.  Often, an #Agent stands in for the intentional action the brings about the fire, or an Actor stands in for the action that brings about the fire unintentionally."
753,3938,"Change_direction","A #Theme that is in motion assumes a new #Direction in which it moves.


<ex>[We|Thm] took our chances and [turned|Target] [right|dir] [by a petrol station|Place] and, bingo, there she was--Fir Park.</ex>

<ex>Molly followed silently as [Desmond|Thm] left the large paneled hall and [turned|Target] [right|Direction] [through a swing door|Path] [into a long, bare corridor|Goal].</ex>

<ex>Cross O'Connell Bridge and continue along D'Olier Street, <m>make</m> a [right|Direction] [turn|Target] [onto College Street|Goal]. [CNI|Theme]</ex>

<ex>Go past the unattended guardhouse, and <m>take</m> a [sharp|ang] [left|Direction] [turn|Target] [down the ramp|Path]. [CNI|Theme]</ex>

<ex>Take the elevator to the sixth floor and <m>make</m> [two|Frequency] [[lefts|dir]|Target]. [CNI|Thm]</ex>"
970,4155,"Change_of_quantity_of_possession","This frame describes a general situation in which an #Owner either increases or decreases their amount of a #Possession.  The increase or decrease may either be physical or metaphorical.
<ex>[The plant|Owner] [lost|Target] [water|Possession] [as the the temperature increased|Explanation].</ex>
<ex>[Gaining|Target] [leadership experience|Possession] is one of the benefits of being a camp counselor. [CNI|Owner]</ex>"
1376,24024,"Change_post-state","The frame represents the result state of the #Entity after an event represented by the Undergo_change frame.

<ex>The original , [unaltered|Target] [version|Entity] of the story had been used initially as a sample exercise.</ex>"
1377,24025,"Citing","A #Defendant is officially summoned to appear in #Court by an #Authority (such as the police) based on certain #Charges. Alternatively, there is often an option for the #Defendant to pay a #Fine (thereby admitting their guilt) instead of going to #Court.

<ex>[The police|Auth] had [summonsed|Target] [the wrong man|Dfnd]. [DNI|Chrg]</ex>

<ex>[Since 1989|Tim] nearly a million [summonses|Target] have been issued [to people|Dfnd] [for not paying their water bills|Chrg]. [CNI|Auth]</ex>

<ex>[The officer|Auth] [cited|Target] [him|Dfnd] [for riding a bike without a light|Chrg].</ex>

Three related frames are Notification_of_charges, Entering_of_plea, and Fining.
This frame is distinguished from Notification_of_charges in that it typically deals with less serious #Charges and/or offenses. It also involves more than just notifying the #Defendant (Accused in the Notification_of_charges frame) of the #Charges being brought against them; LUs in the Citing frame also require that the #Defendant take some form of action (go to #Court or pay a #Fine). Similarly, Citing differs from Entering_of_plea because its scenario encompasses more than the latter; Citing involves steps both before and after the #Defendant enters a Plea in answer to #Charges. Finally, this frame differs from Fining since the #Defendant (Payer in the Fining frame) does not necessarily end up paying a #Fine. He or she may go to #Court instead. "
430,3615,"Claim_ownership","A #Claimant asserts his or her right to possession of a piece of #Property (either real, such as land, or private).  The Claimant may be acting on the behalf of a #Beneficiary.
<ex>[The King|Claimant] [claims|Target] [this land and surrounding waters|Property].</ex>
<ex>Hoping to strike it rich, Thaddeus Gulch staked [his|Claimant] [claim|Target] by the river bed.</ex>
<ex>[I|Claimant] <supp>have</supp> [dibs|Target] [on the last piece of cake|Property].</ex>"
1378,24026,"Co-association","Two or more individuals have a relationship by virtue of belonging to the same organization or institution. They may or may not be personally acquainted, and may or may not have chosen to have the relationship."
17,3202,"Cogitation","A person, the #Cognizer, thinks about a #Topic over a period of time. What is thought about may be a course of action that the person might take, or something more general.

<ex>[The men|Cognizer] were [silently|Manner] [mulling|Target] [over|Target] [the proposition of committing an assassination|Topic]</ex>"
449,3634,"Cognitive_connection","A concept, #Concept_1, is related causally or collocationally to another concept, #Concept_2 by means of some evidence.  They may be related only under certain #Circumstances or from a certain #Point_of_view.  The two concepts may be expressed collectively as associated #Concepts.  Any cognizer is deprofiled.

<ex>[Smoking|Concept_1] is [tied|Target] [to cancer|Concept_2].</ex>"
802,3987,"Colonization","A group of #Colonists from a #Homeland migrate to and proceed to settle in a #New_area. The #New_area then becomes their permanent home. The #New_area and #Homeland are in some way construed as being part of the same organization or system. In the case of (people from) nation-states colonizing other areas, the colony and nation-state are considered a single political entity. In the extended sense of living things in general colonizing or settling a new area, the original #Homeland must still inhabited by some of the same group. In this sense Colonization is distinct from migration or exodus.

<ex>[In the 7th century BC|tim], [Phoenicians|col] [colonized|Target] [the eastern section of Libya|new].</ex>
<ex>In the 7th century BC, [Phoenicians|hom] [colonized|Target] the eastern section of Libya.</ex>
<ex>[Finns|col] [colonized|Target] [the land|new] from the south [some 2,000 to 4,000 years ago|tim]</ex>
<ex>If a [colony|Target] [from Britain|new] was established in that large tract of Country, and if we were at war with Holland or Spain, we might very powerfully annoy either state from our new settlement.</ex>

This frame also includes metaphorical uses involving animals or plants, or abstract domains such as ideas.

<ex>[Deciduous trees such as red alder|col] [subsequently|tim] [colonized|Target] [the logged area|new].</ex>

<ex>Conservatives don't get what the left gets, which is that [the left|col] has [already|tim] [colonized|Target] and converted [whole university departments|new].</ex>

<ex>As the years progressed and adaptations occurred [new species and subspecies|col] began to [populate|Target] [the islands|hom].</ex>"
1379,24027,"Come_down_with","A #Protagonist comes to suffer from a #Disease, often implicitly acquired from a #Source.

<ex>She [got|Target] the measles .</ex>
<ex>The virus when [acquired|Target] from environmental sources is often less severe .</ex>
<ex>I 'm afraid I 've [come down|Target] with a cold .</ex>
"
22,3207,"Coming_up_with","Words in this frame have to do with a #Cognizer creating a new intellectual entity, the #Idea. These words are similar to words of physical creation such as <ment>build</ment> and <ment>make</ment>, and in some cases may be understood as metaphorically based on such words. However, the #Ideas in this frame are predominantly conceptual in nature.

Compare this frame with Achieving_first.  In that frame, the fact that the idea is new to society is emphasized, whereas Coming_up_with refers to an agentive #Cognizer using mental effort to figure something out, without any implication of the impact of the idea.

<ex>[I|Cog] 've been trying to [come up|Target] [with a plan|Idea] .</ex>

"
236,3421,"Commemorative","This frame describes a particular compounding construction (a pattern of coinage) by which more complex words can be created by joining an #Honored_entity to a #Dedicated_type to describe a particular #Dedicated_entity which has been officially named for the #Honored_entity.  The #Dedicated_type and #Honored_entity FEs each form part of the Lexical Units (annotated on the second FE layer), and the #Dedicated_entity is the denotation of the whole.  Since each of the FEs is a part of the Lexical Unit, there is no assignment of Grammatical Function or Phrase Type.  The #Dedicated_type should (in principle) also be annotated as a LU in a separate frame.  Targets are added opportunistically to this frame in the course of annotating other frames.  For example, the Day of [Armistice Day|Target] should also be annotated in the Calendric_unit frame.

<ex>1st layer:  Turn right at the [[Jefferson Building|Target]|ded].</ex>
<ex>2nd layer:  Turn right at the [Jefferson|Honored_entity] [Building|Dedicated_type].</ex>"
27,3212,"Commitment","A #Speaker makes a commitment to an #Addressee to carry out some future action.  This may be an action desirable (as with <ment>promise</ment>) or not desirable (as with <ment>threaten</ment>) to the #Addressee. Some of the words in this frame allow an #Addressee to be expressed.
<ex>[You|Speaker] [promised|Target] [me|Addressee] [you'd come to my graduation|Message].</ex>
Other words cannot normally occur with an #Addressee.
<ex>[Kim|Speaker] [undertook|Target] [to finish the project by June|Message].</ex>"
1111,4296,"Commonality","This frame contains words that describe a set of individuals which possess some #Commonality, generally a common attribute.

<ex>[Their|Entities] [common|Target] [enemy|Commonality] was Britain.</ex>"
463,3648,"Communicate_categorization","A #Speaker communicates a message stating an #Item's membership in a #Category, i.e., asserts that the #Item has the defining characteristics of the #Category. Alternatively, the message is conceived as communicated by a #Medium.

<ex>[He|Speaker] [depicted|Target] [his involvement|Item] [as merely peripheral|Category].</ex>

<ex>[The first half of the book|Medium] [portrays|Target] [Bragg's mother|Item] [as a beautiful and heartbroken woman|Category]</ex>."
218,3403,"Communication_means","This frame concerns #Communicators communicating with each other with the aid of a #Means of communication such as a telephone.

<ex>[I|Communicator] [[faxed|Target]|Means] [him|Addressee] [a resume|Message].</ex>"
