English,Serbian
burying,закопавање
business_closure,престанак_пословања
businesses,предузећа
cache,тајно_складиште
calendric_unit,календарска_јединица
candidness,искреност
capability,способност
capacity,капацитет
capital_stock,капитална_акција
cardinal_numbers,кардинални_бројеви
carry_goods,носити_робу
catastrophe,катастрофа
catching_fire,запалити_се
categorization,категоризовање
causation,изазивање
causation_scenario,изазивање_сценарио
cause_bodily_experience,изазвати_телесно_искуство
cause_change,изазвати_промену
cause_change_of_consistency,изазвати_промену_конзистенције
cause_change_of_phase,изазвати_промену_стања
cause_change_of_position_on_a_scale,изазвати_промену_позиције_на_скали
cause_change_of_strength,изазвати_промену_снаге
cause_emotion,изазвати_емоцију
cause_expansion,изазвати_ширење
cause_fluidic_motion,изазвати_кретање_течности
cause_harm,изазвати_штету_или_повреду
cause_impact,изазвати_удар(ац)
cause_motion,изазвати_кретање
cause_proliferation_in_number,изазвати_промену_броја
cause_temperature_change,изазвати_промену_температуре
cause_to_amalgamate,изазвати_спајање
cause_to_be_dry,изазвати_да_постане_суво
cause_to_be_included,изазвати_укључивање
cause_to_be_sharp,изазвати_да_буде_оштро
cause_to_be_wet,изазвати_да_постане_мокро
cause_to_burn,изазвати_горење
cause_to_continue,изазвати_наставак
cause_to_end,изазвати_крај
cause_to_experience,изазвати_доживљај
cause_to_fragment,изазвати_распарчавање
cause_to_land,изазвати_слетање
cause_to_make_noise,изазвати_прављење_буке
cause_to_make_progress,изазвати_напредак
cause_to_move_in_place,изазвати_померања_у_месту
cause_to_perceive,изазвати_опажање
cause_to_resume,изазвати_наставак_после_прекида
cause_to_rot,изазвати_труљење
cause_to_start,изазвати_почетак
cause_to_wake,изазвати_буђење
ceasing_to_be,престајати_постојати
certainty,увереност
change_accessibility,променити_приступачност
change_direction,променити_смер
change_event_duration,променити_трајање_догађаја
change_event_time,променити_време_догађаја
change_of_consistency,промена_конзистенције
change_of_leadership,промена_руководства
change_of_phase,промена_(агрегатног)_стања
change_of_phase_scenario,промена_(агрегатног)_стања_сценарио
change_of_quantity_of_possession,промена_количине_поседа
change_of_temperature,промена_температуре
change_operational_state,променити_оперативно_стање
change_position_on_a_scale,промена_позиције_на_скали
change_post-state,променити_пост-стање
change_posture,променити_положај_тела
change_resistance,променити_отпор
change_tool,променити_алат
chaos,хаос
chatting,ћаскање
chemical-sense_description,хемијска_чула_опис
chemical_potency,моћ_хемикалије
choosing,бирање
circumscribed_existence,ограничено_постојање
citing,позивање_на_суд
claim_ownership,тврдити_власништво
clemency,помиловање
closure,затварање
clothing,одећа
clothing_parts,одећа_делови
co-association,саудруживање
cogitation,разматрање
cognitive_connection,когнитивна_веза
cognitive_impact,когнитивни_утицај
coincidence,случајност
collaboration,сарадња
collocation_image_schema,колокација_слика_шема
colonization,колонизација
color,боја
color_qualities,особине_боје
come_down_with,разболети_се
come_into_effect,ступити_на_снагу
come_together,доћи_заједно
coming_to_be,настајање
coming_to_believe,закључивање
coming_up_with,осмишљавање
commemorative,комеморативни
commerce_buy,трговина_куповина
commerce_collect,трговина_наплата
commerce_goods-transfer,трговина_пренос_робе
commerce_money-transfer,трговина__трансфер_новца
commerce_pay,трговина_плаћање
commerce_scenario,трговање_сценарио
commerce_sell,трговина_продаја
commercial_transaction,трговинска_трансакција
commitment,обавезивање
committing_crime,вршење_злочина
commonality,заједнички_ентитети
communicate_categorization,саопштити_категоризацију
communication,комуникација
communication_manner,комуникација_начин
communication_means,комуникација_средства
communication_noise,комуникација_бука
communication_response,комуникација_одговор
commutation,ублажавање_казне
commutative_process,комутативни_процес
commutative_statement,комутативни_исказ
compatibility,компатибилност
competition,такмичење
complaining,жалити_се
completeness,потпуност
compliance,сагласност
concessive,допусно
condition_symptom_relation,однос_између_стања_и_симптома
conditional_occurrence,условљена_појава
conditional_scenario,услов_сценарио
conduct,владање
conferring_benefit,додељивање_користи
confronting_problem,суочавање_са_проблемом
connecting_architecture,повезујући_архитектонски_елементи
connectors,конектори
conquering,освајање
contact_image_schema,контакт_шема_слика
contacting,контактирање
container_focused_placing,постављање_усмерено_на_садржатељ
container_focused_removing,уклањање_усмерено_на_садржатељ
containers,садржатељи
containing,садржавање
containment_scenario,садржавање_сценарио
contingency,зависност
continued_state_of_affairs,настављено_стање_ствари
contrary_circumstances,супротне_околности
contrition,покајање
control,контрола
controller_object,контролер_артефакт
convey_importance,пренети_важност
convoy,конвој
cooking_creation,кување_стварање
corporal_punishment,телесна_казна
correctness,исправност
corroding,кородирање
corroding_caused,кородирање_изазвано
cotheme,котема
counterattack,контранапад
court_examination,судско_испитивање
craft,занат
create_physical_artwork,стварање_физичких_уметничких_дела
create_representation,створити_приказ
creating,стварање
crime_scenario,злочин_сценарио
criminal_investigation,кривична_истрага
criminal_process,кривични_процес
cure,лечење
custom,обичај
cutting,сечење
cycle_of_existence_scenario,животни_циклус_сценарио
cycle_of_life_and_death,циклус_живота_и_смрти
damaging,оштећивање
daring,смелост
dead_or_alive,мртав_или_жив
death,смрт
deception_end,обмана_крај
deception_scenario,обмана_сценарио
deception_success,обмана_успех
deciding,одлучивање
defending,брањење
degree,степен
degree_of_processing,степен_обраде
delimitation_of_diversity,разграничење_различитости
delimited_state_scenario,разграничено_стање_сценарио
delivery,испорука
deny_or_grant_permission,одбити_или_дати_дозволу
departing,одлажење
deserving,заслуживање
desirability,пожељност
desirable_event,пожељан_догађај
desiring,желети
destiny,судбина
destroying,уништавање
detaching,одвајање
detaining,задржавање_(некога)
detonate_explosive,детонирати_експлозив
differentiation,разликовање
difficulty,тешкоћа
dimension,димензије
direction,правац
directional_locative_relation,усмерени_месни_однос
disaster_scenario,катастрофа_сценарио
discussion,дискутовање
disembarking,искрцавање
disgraceful_situation,срамотна_ситуација
dispersal,распршивање
distant_operated_ied,импровизована_експлозивна_направа_активирана_даљински
distinctiveness,јединственост
distributed_abundance,дистрибуирано_обиље
distributed_position,распоређена_позиција
diversity,разноликост
documents,документи
dodging,измицање
domain,домен
dominate_competitor,доминирати_над_конкурентом
dominate_situation,доминирати_над_ситуацијом
domination,доминација
dough_rising,дизање_теста
downing,обарање
dressing,облачење
drop_in_on,свратити_код_некога
dunking,намочити_
duplication,дуплирање
duration_description,опис_трајања
duration_relation,трајање_однос
duration_scenario,трајање_сценарио
dying,умирање
dynamic_situation_scenario,динамична_ситуација_сценарио
dynamism,динамичност
earnings_and_losses,зараде_и_губици
eclipse,помрачење
economy,економија
education_teaching,образовање_подучавање
electricity,електрична_енергија
elusive_goal,неухватљив_циљ
emanating,зрачење
emergency,хитан_случај_
emergency_fire,хитан_случај_ватра
emitting,емитовање
emotion_active,емоција_активна
emotion_directed,емоција_усмерена
emotion_heat,емоција_топлота
emotions,емоције
emotions_by_possibility,емоције__према_могућности
emotions_by_stimulus,емоције_према_стимулусу
emotions_of_mental_activity,емоције_менталне_активности
emotions_success_or_failure,емоције_успех_или_неуспех
emphasizing,наглашавање
employee_scenario,запослени_сценарио_
employer_scenario,послодавац_сценарио_
employing,запошљавање
employment_continue,запослење_наставак
employment_end,запослење_престанак
employment_scenario,запослење_сценарио
employment_start,запослење_почетак
emptying,пражњење
encoding,кодирање
encounter,сусрет
endangering,угрожавање
endeavor_failure,неуспех_подухвата
enforcing,спровођење
entering_of_plea,изјашњавање_о_кривици
entity,ентитет
entourage,пратња
erasing,брисање
escaping,бежање
estimated_value,процењена_вредност
estimating,процењивање
evading,измицање
evaluative_comparison,евалуативно_поређење
event,догађај
event_endstate,догађај_завршно_стање
event_initial_state,догађај_почетно_стање
event_instance,догађај_понављање
eventive_affecting,утицај_догађаја
eventive_cognizer_affecting,утицај_догађаја_на_сазнавача
evidence,доказ
evoking,призивање
examination,испитивање
exchange,размена
exchange_currency,размена_валута
exclude_member,искључити_члана
excreting,излучивање
execute_plan,извршити_план
execution,погубљење
exemplar,типичан_пример
exemplariness,типичност
exercising,вежбање
existence,постојање
expansion,ширење
expectation,очекивање
expected_location_of_person,очекивана_локација_особе
expend_resource,потрошити_ресурс
expensiveness,скупоћа
experience_bodily_harm,доживети_телесну_повреду
experiencer_focus,фокус_доживљавача
experiencer_obj,доживљавач_обј
experimentation,експериментисање
expertise,стручност
explaining_the_facts,објашњавање_чињеница
explosion,експлозија
exporting,извоз
expressing_publicly,јавно_изражавати
extradition,изручење
extreme_point,екстремна_тачка
extreme_value,екстремна_вредност
facial_expression,израз_лица
fairness_evaluation,оцењивање_правичности
fall_asleep,заспати
fall_for,насести
fame,слава
familiarity,упознатост
fastener,затварач
fear,бојати_се
feeling,осећање
feigning,претварати_се
fields,сфере
fighting_activity,борбена_активност
filling,пуњење
fining,новчано_кажњавање
finish_competition,завршити_такмичење
finish_game,завршити_игру
fire_break,противпожарни_прекид
fire_burning,ватра_која_гори
fire_emergency_scenario,ванредне_ситуације_у_случају_пожара_сценарио
fire_end_scenario,завршетак_пожара_сценарио
fire_going_out,ватра_која_се_гаси
fire_stopping_scenario,заустављање_пожара_сценарио
firefighting,гашење_ватре
firing,отпуштање
firing_point,место_са_ког_се_пуца
first_experience,прво_искуство
first_rank,први_ранг
fleeing,бежање
fluidic_motion,кретање_течности
food,храна
food_gathering,сакупљање_хране
foreign_or_domestic_country,страна_или_домаћа_земља
forging,фалсификовање
forgiveness,опроштај
forgoing,уздржавање
forming_relationships,формирање_односā
fragmentation_scenario,распарчавање_сценарио
freeing_from_confinement,ослобађање_од_заточеништва
frequency,фреквенција
friction,трење
friendly_or_hostile,пријатељски_или_непријатељски
front_for,параван_за_(нешто)
frugality,штедљивост
fugitive,бегунац
fullness,пуноћа
function,функција
funding,финансирање
gathering_up,сакупљање
gesture,гест
get_a_job,добити_посао
getting,добијање
getting_scenario,добијање_сценарио
getting_triggered,бити_покренут
getting_underway,кретати
getting_up,устајање
getting_vehicle_underway,покретање_возила
give_impression,оставити_утисак
giving,давање
giving_birth,рађање
giving_in,попуштање
giving_scenario,давање_сценарио
gizmo,направа
go_into_shape,прећи_у_облик
goal,циљ
going_back_on_a_commitment,одустајање_од_обавезе
government_institution,државна_институција
gradable_artistic_quality,степеновани_уметнички_квалитет_
gradable_attributes,степеновани_атрибути
gradable_proximity,степенована_близина
graph_shape,облик_графикона
grasp,разумети
grinding,млевење
grooming,хигијена
ground_up,самлети
growing_food,узгајање_хране
guest_and_host,гост_и_домаћин
guilt_or_innocence,кривица_или_невиност
gusto,полет
hair_configuration,изглед_косе
halt,застој
have_as_requirement,имати_као_захтев
have_as_translation_equivalent,имати_као_преводни_еквивалент
have_associated,бити_повезан
have_visitor_over,имати_посетиоца
having_commercial_agreement,имати_комерцијални_уговор
having_or_lacking_access,имати_или_немати_приступ
health_response,здравствена_реакција
hearsay,гласина
heat_potential,топлотни_потенцијал
hedging,ограђивање
heralding,најављивање
hiding_objects,скривање_предмета
hindering,ометање
hiring,унајмљивање
historic_event,историјски_догађај
history,историја
history_scenario,историја_сценарио
hit_or_miss,погодити_или_промашити
hit_target,погодити_мету
holding_off_on,одлагање
hospitality,гостопримство
hostile_encounter,непријатељски_сусрет
hunting,лов
hunting_scenario,сценарио_лова
hunting_success_or_failure,лов_успех_или_неуспех
identicality,истоветност
identity,идентитет
identity_scenario,идентитет_сценарио
idiosyncrasy,идиосинкразија
image_schema,шема_слике
imitating,имитирање
immobilization,имобилизација
impact,ударац
import_export_scenario,увоз_извоз_сценарио
importance,значај
importing,увоз
imposing_obligation,наметање_обавезе
impression,утисак
imprisonment,лишавање_слободе
improvement_or_decline,побољшање_или_назадовање
improvised_explosive_device,импровизована_експлозивна_направа
inclination,склоност
inclusion,укључивање
inclusion_scenario,укључивање_сценарио
increment,прираст
indicating,идентификовање
indigenous_origin,аутохтоно_порекло
individual_history,индивидуална_историја
ineffability,неизрецивост
infecting,зараза
influencing_potential,потенцијал_утицања
information,информација
information_display,приказ_информација
infrastructure,инфраструктура
ingest_substance,унети_супстанцу
ingestion,уношење_хране
ingredients,састојци
inherent_purpose,инхерентна_сврха
inhibit_motion_scenario,ограничавање_кретања_сценарио
inhibit_movement,ограничити_кретање
inspecting,проверавање
installing,постављање
instance,пример
institutionalization,институционализација
institutions,институције
intentional_deception,намерна_обмана
intentional_traversing,намерно_прелажење
intentionally_act,намерни_чин
intentionally_affect,намерно_утицати
intentionally_create,намерно_стварати
intercepting,пресретање
interior_profile_relation,унутрашњи_профил_однос
interrupt_process,прекинути_процес
intoxicants,опојна_средства
intoxication,пијанство
invading,инвазија
invasion_scenario,инвазија_сценарио
irregular_combatants,нерегуларни_борци
isolated_places,изолована_места
judgment,суд
judgment_communication,процењивање_саопштавање
judgment_direct_address,директно_преношење_суда
judgment_of_intensity,просуђивање_интензитета
judicial_body,судско_тело
jury_deliberation,већање_жирија
just_found_out,управо_сазнати
justifying,оправдавање
key,кључ
kidnapping,киднаповање
killing,убијање
kinship,сродство
knot_creation,стварање_чвора
knot_creation_scenario,стварање_чвора_сценарио
labeling,етикетирање
labor_product,производ_рада
launch_process,покретање_процеса
law,закон
law_enforcement_agency,агенција_за_спровођење_закона
leadership,вођство
leaving_traces,остављање_трагова
left_to_do,преостало_за_рад
legal_rulings,правне_пресуде
legality,законитост
lending,позајмљивање_(некоме)
level_of_force_exertion,ниво_утрошене_силе
level_of_force_resistance,ниво_отпора_сили
level_of_light,ниво_светлости
light_movement,кретање_светлости
likelihood,вероватноћа
limitation,ограничење
limiting,ограничавање
linguistic_meaning,језичко_значење
lively_place,живо_место
living_conditions,услови_живота
locale,подручје
locale_by_characteristic_entity,место_према_карактеристичном_ентитету
locale_by_collocation,место_према_колокацији
locale_by_event,место_према_догађају
locale_by_ownership,место_према_власништву
locale_by_use,место_према_употреби
locale_closure,место_затварање
locating,лоцирање
location_in_time,локација_у_времену
location_of_light,позиција_светлости
location_on_path,локација_на_путу
locative_relation,лоцираност_релативна
locative_scenario,локација_сценарио
lodging_scenario,преноћиште_сценарио
lose_possession,изгубити_посесум
lose_possession_scenario,губитак_посесума_сценарио
losing,губљење
losing_it,губити_присебност
losing_someone,изгубити_некога
losing_track_of,губити_из_вида
losing_track_of_perceiver,губити_из_вида_о_опажачу
losing_track_of_theme,губити_из_вида_о_теми
luck,срећа
make_acquaintance,упознати_се
make_agreement_on_action,договорити_се_око_акције
make_cognitive_connection,успоставити_когнитивну_везу
make_compromise,направити_компромис
make_noise,правити_буку
making_arrangements,договарање
making_faces,прављење_гримаса
manipulate_into_doing,наговорити_на_чин
manipulate_into_shape,обликовати
manipulation,померање
manner,начин
manner_of_life,начин_живота
manufacturing,производња
margin_of_resolution,одлучујућа_разлика
mass_motion,масовно_кретање
mathematical_relationship,математички_однос
means,средство
measurable_attributes,мерљиви_атрибути
measure_area,мера_површина
measure_by_action,измерити_делањем
measure_duration,мера_трајање
measure_linear_extent,мера_линеарни_опсег
measure_mass,мера_тежина
measure_scenario,мерење_сценарио
measure_volume,мера_запремина
measures,мере
medical_conditions,медицинска_стања
medical_instruments,медицински_инструменти
medical_interaction_scenario,медицинска_интеракција_сценарио
medical_intervention,медицинска_интервенција
medical_professionals,медицински_стручњаци
medical_specialties,медицинске_специјализације
medium,медијум
meet_specifications,испуњавање_спецификација
meet_with,састати_се_са
meet_with_response,наићи_на_одговор
member_of_military,припадник_војске
membership,чланство
memorization,меморисање
memory,памћење
mental_activity,ментална_активност
mental_property,ментално_својство
mental_stimulus_exp_focus,ментални_стимулус_експ_фокус
mental_stimulus_stimulus_focus,ментални_стимулус_стимулус_фокуса
mention,спомињање
military,војска
military_operation,војна_операција
mining,рударство
misdeed,недело
money,новац
morality_evaluation,моралност_вредновање
motion,кретање
motion_directional,кретање_усмерено
motion_noise,бучно_кретање
motion_scenario,кретање_сценарио
moving_in_place,кретање_у_месту
name_conferral,име_додељивање
namesake,имењак
natural_features,природа_рељеф
needing,бити_потребно
negation,негација
negative_conditional,негативан_услов
network,мрежа
noise_makers,творци_буке
non-commutative_process,некомутативни_процес
non-commutative_statement,некомутативни_исказ
non-gradable_proximity,нестепенована_близина
noncombatant,неборац
notability,значајност
notification_of_charges,обавештење_о_оптужби
nuclear_process,нуклеарни_процес
objective_influence,објективан_утицај
obligation_scenario,обавеза_сценарио_
obscurity,непознатост
obviousness,очигледност
occupy_rank,заузети_ранг
offenses,прекршаји
offering,нудити
offshoot,изданак
omen,предзнак
ontogeny,онтогенеза
openness,отвореност
operate_vehicle,управљање_возилом
operate_vehicle_scenario,управљати_возилом_сценарио
operating_a_system,управљање_системом
operational_testing,оперативно_тестирање
opinion,мишљење
opportunity,прилика
optical_image,оптичка_слика
ordinal_numbers,редни_бројеви
organization,организација
origin,порекло
others_situation_as_stimulus,друге_ситуације_као_стимулуси
out_of_existence,ван_постојања
pardon,опрост
part_edge,део_ивица
part_inner_outer,део_унутрашњи_спољашњи
part_ordered_segments,део_поређани_сегменти
part_orientational,део_оријентација
part_piece,део_комад
part_whole,део_целина
partiality,пристрасност
participation,учешће
partitive,издвајање_из_целине
passing,додавање
passing_off,подваљивање
path_shape,облик_пута
path_traveled,пређена_путања
patrolling,патролирање
pattern,шаблон
people,људи
people_along_political_spectrum,људи_дуж_политичког_спектра
people_by_age,људи_према_старости
people_by_jurisdiction,људи_према_надлежности
people_by_military_specialty,људи_према_војној_специјалности
people_by_morality,људи_према_моралности
people_by_origin,људи_према_пореклу
people_by_religion,људи_према_религији
people_by_residence,људи_према_пребивалишту
people_by_vocation,људи_према_занимању
perception,перцепција
perception_active,активно_опажање
perception_body,перцепција_тело
perception_experience,искуство_перципирања
performers,извођачи
performers_and_roles,извођачи_и_улоге
performing_arts,извођење_уметности
personal_relationship,лични_однос
personal_success,лични_успех
physical_artworks,физичка_уметничка_дела
physical_entity,физички_ентитет
piracy,отимање
placing,стављање
placing_scenario,стављање_сценарио
planned_trajectory,планирана_путања
planting,садња
plants,биљке
point_of_dispute,тачка_спора
political_actions,политичке_радње
political_locales,политичка_места
popularity,популарност
posing_as,представљати_се_као
position_on_a_scale,позиција_на_скали
possession,поседовање
possibility,могућност
post_getting,после_добијања
post_giving,после_давања
post_lose_possession,након_губитка_посесума
post_receiving,после_примања
post_transfer,после_преноса
posture,положај_тела
practice,вежба
praiseworthiness,вредно_хвале
prank,смицалица
pre_getting,пре_добијања
pre_giving,пре_давања
pre_lose_possession,пре_губитка_посесума
pre_receiving,пре_примања
pre_transfer,пре_преноса
precariousness,нестабилност
precipitation,падавине
predicament,неприлика
predicting,предвиђање
preference,склоност
preferred_alternative_scenario,пожељнија_алтернатива_сценарио
preliminaries,припремне_активности
presence,присуство
presentation_of_mitigation,приказ_ублажавања
preserving,очување
prevarication,обмањивање
prevent_or_allow_possession,спречити_или_дозволити_поседовање
preventing_or_letting,спречавање_или_допуштање
price_per_unit,цена_по_јединици
prison,затвор
probability,вероватноћа
process,процес
process_completed_state,процес_завршено_стање
process_continue,процес_наставак
process_end,процес_крај
process_initial_state,процес_почетно_стање
process_pause,процес_пауза
process_resume,процес_наставак_после_прекида
process_start,процес_почетак
process_stop,процес_завршетак
process_stopped_state,процес_заустављено_стање
process_uncompleted_state,процес_незавршено_стање
processing_materials,обрада_материјала
procreative_sex,прокреативни_секс
product_delivery,испорука_производа
product_development,развој_производа
product_development_scenario,развој_производа_сценарио
product_line,линија_производа
progression,напредовање
prohibiting_or_licensing,забрањивање_или_дозвољавање
project,пројекат
proliferating_in_number,промена_броја
prominence,истакнутост
proper_reference,уже_одређивање
proportion,пропорција
proportional_quantity,пропорционална_количина
protecting,штитити
protest,протест
provide_lodging,обезбедити_преноћиште
proximity_image_schema,близина_слика_шема
public_services,јавне_службе
publishing,објављивање
punctual_perception,краткотрајно_опажање
purpose,сврха
putting_out_fire,гашење_пожара
quantified_mass,измерена_маса
quantity,количина
quarreling,свађање
questioning,постављање_питања
quitting,давање_отказа
quitting_a_place,напуштање_места
race_descriptor,описивач_расе
range,домет
rank,чин
ranked_expectation,рангирано_очекивање
rape,силовање
rashness,брзоплетост
rate_description,стопа_опис
rate_quantification,стопа_квантификација
ratification,ратификација
reading_activity,читање__активност
reading_aloud,читање_наглас
reading_perception,читање_опажање
reason,разлог
reasoning,расуђивање
reassuring,уверавање
rebellion,побуна
receive_visitor_scenario,примање_посетиоца_сценарио
receiving,примање
receiving_scenario,примање_сценарио
reciprocality,реципрочност
recording,снимање
records,записи
recovery,опоравак
redirecting,преусмеравање
reference_text,референтни_текст
referring_by_name,ословљавање_по_имену
reforming_a_system,реформисање_система
regard,ценити
region_with_portal,регион_са_порталом
rejuvenation,подмлађивање
relating_concepts,повезани_појмови
relation,веза
relation_between_individuals,однос_између_појединаца
relational_location,релациона_локација
relational_natural_features,релационе_природне_карактеристике
relational_political_locales,релациона_политичка_места
relational_quantity,релациона_количина
relative_time,релативно_време
releasing,ослобађање
releasing_from_custody,пуштање_из_притвора
reliance,ослањање
reliance_on_expectation,ослањање_на_очекивање
religious_belief,религијско_веровање
remainder,остатак
remembering_experience,памћење_искуство
remembering_information,сећати_се_информација
remembering_to_do,сетити_се_да_се_нешто_уради
removing,уклањање
removing_scenario,уклањање_сценарио
render_nonfunctional,учинити_нефункционалним
renting,изнајмљивање
renting_out,издавање_у_закуп
renunciation,одрицање
reparation,одштета
repayment,отплата
repel,одбијање
replacing,замењивање
reporting,извештавање
representative,представник
representing,представљање
request,захтев
request_entity,наручивање_ентитета
required_event,неопходан_догађај
requirement_scenario,захтев_сценарио
rescuing,спасавање
research,истраживање
reserving,резервисање
reshaping,преобликовање
residence,пребивалиште
resolve_problem,решити_проблем
respond_to_proposal,одговорити_на_предлог
response,одговор
response_scenario,одговор_сценарио
responsibility,одговорност
rest,остало
result_of_attempt_scenario,резултат_покушаја_сценарио
resurrection,васкрсење
retaining,задржавање_(нечега)
reveal_secret,открити_тајну
revenge,освета
revolution,револуција
rewards_and_punishments,награде_и_казне
ride_vehicle,кретати_се_возилом
rising_to_a_challenge,суочити_се_са_изазовом
risk_scenario,ризик_сценарио
risky_situation,ризична_ситуација
rite,обред
roadways,путеви
robbery,пљачка
rope_manipulation,руковање_конопцем
rotting,пропадање
run_risk,ризиковати
sacrificing_for,жртвовање_за_нешто
satisfying,задовољавање
scarcity,оскудица
scheduling,заказивање
scope,обим
scouring,претраживање
scrutinizing_for,испитивање_ради_нечега
scrutiny,прегледање
searching_scenario,претраживање_сценарио
secrecy_status,статус_поверљивости
see_through,прозрети
seeking,тражење
seeking_to_achieve,тражити_ради_достизања_(нечега)
self_control,самоконтрола
self_motion,самостално_кретање
sending,слање
sensation,осећај
sent_items,послати_предмети
sentencing,изрицање_казне
separating,одвајање
sequence,низ
serving_in_capacity,служење_у_својству
set_of_interrelated_entities,скуп_међусобно_повезаних_ентитета
set_relation,скуп_однос
setting_back_burn,изазивање_контролисаног_пожара
setting_fire,паљење_ватре
setting_out,запутити_се
severity_of_offense,тежина_прекршаја
sex,секс
sexual_reproduction_scenario,сексуална_репродукција_сценарио
shaped_part,обликовани_део
shapes,облици
sharing,дељење
sharpness,оштрина
shoot_projectiles,испаљивање_пројектила
shooting_scenario,пуцање_сценарио
shopping,шопинг_(куповина)
short_selling,краткорочна_продаја
sidereal_appearance,појављивање_звезда
sign,знак
sign_agreement,потписати_споразум
