English,Serbian
emotional_state,емоционално_стање
empathy_target,мета_емпатије
employee,запослени
employer,послодавац
employment,радни_однос
enabled_action,омогућена_радња
enabled_situation,омогућена_ситуација
enclosed_region,затворена_регија
end_point,крајња_тачка
end_time,завршно_време
endangering_act,угрожавајући_чин
endeavor,подухват
endpoints,крајње_тачке
enemy,непријатељ
entities,ентитети
entity,ентитет
entity_1,ентитет_1
entity_2,ентитет_2
entourage,пратња
entry_path,улазна_путања
equiv1,еквив1_1
equiv2,еквив1_2
equivalence,једнакост
escapee,одбегла_особа
estimation,процена
ethnicity,етничка_припадност
etymological_root,етимолошки_корен
evader,избегавач
evaluation,евалуација
evaluator,оцењивач
evaluee,процењивани
event,догађај
event_description,опис_догађаја
events,догађаји
eventuality,догађајност
evidence,доказ
examination,испитивање
examinee,оцењивани
examiner,оцењивач
excess,вишак
exchange_rate,курс
exchange_service,сервис_размене
exchanger_1,размењивач_1
exchanger_2,размењивач_2
exchangers,размењивачи
excreta,излучевина
excreter,излучивач
executed,извршени
execution,извршење
executioner,извршилац
executive_authority,извршна_власт
exerter,вршилац
existing_member,постојећи_члан
expectation,очекивање
expected_entity,очекивани_ентитет
expected_event,очекивани_догађај
expected_request,очекивани_захтев
experience,искуство
experiencer,доживљавач
experiment,експеримент
experimenter,експериментатор
explanation,објашњење
explosive,експлозив
exporter,извозник
exporting_area,извозно_подручје
expression,израз
expression_1,израз_1
expression_2,израз_2
expressor,изразитељ
extent,обим
extent_of_acclaim,степен_признања
exterior,екстеријер
external_cause,спољашњи_узрок
facility,институција
fact,чињеница
factor,чинилац
factory,фабрика
factual_situation,чињенично_стање
faculty,способност_
falling_event,догађај_падања
fastener,причвршћивач_
father,отац
feature,карактеристика
fidelity,верност
field,област
fight,борба
fighter,борац
figure,фигура
figures,фигуре
final_category,завршна_категорија
final_correlate,завршни_корелат
final_element,завршни_елемент
final_number,завршни_број
final_quality,завршни_квалитет
final_situation,завршна_ситуација
final_state,завршно_стање
final_subevent,завршни_поддогађај
final_temperature,завршна_температура
final_value,завршна_вредност
financial_instrument,финансијски_инструмент
finding,налаз
fine,новчана_казна
fire,ватра
fire_break,противпожарни_прекид
firearm,ватрено_оружје
firefighter,ватрогасац
firing_point,место_са_ког_се_пуца
fixed_location,фиксна_локација
flame,пламен
flammables,запаљиве_материје
fluid,флуид_
focal_entity,фокални_ентитет
focal_feature,фокална_карактеристика
focal_occasion,фокална_прилика
focal_participant,фокални_учесник
focal_time,фокално_време
following_distance,одржавање_раздаљине
food,храна
forbidden,забрањен
force,сила
foreground_event,догађај_у_првом_плану
forgery,фалсификат
forgoer,порицатељ
form,форма
formal_realization,формална_реализација
formational_cause,формацијски_узрок
frequency,фреквенција
frequency_of_success,учесталост_успеха
frequency_of_use,учесталост_употребе
front,параван
fuel,гориво
fugitive,бегунац
function,функција
future_phenomenon,будућа_појава
gambler,коцкар
game,игра
garment,одевни_предмет
gatherer,сакупљач
genre,жанр
gift,поклон
gizmo,направа
goal,циљ
goal_area,циљно_подручје
goods,роба
governed,управљани
governing_authority,управна_власт
gradable_attribute,градабилни_атрибут
graph,графикон
grinder,млин
grinding_cause,узрок_млевења
ground,основа
grounds,основе
group,група
grower,узгајивач
guardian,старатељ
guest,гост
hair,коса
hair_property,карактеристика_косе
handle,ручка
harmful_event,штетан_догађај
harmful_situation,штетна_ситуација
healer,исцелитељ
hearer,слушалац
heat_source,извор_топлоте
heating_instrument,грејни_инструмент
hedged_content,ограђени_садржај
helper,помоћник
hiatus,пауза
hidden_object,скривени_објекат
hiding_place,скровиште
hindrance,сметња
holder,држалац
holding_location,локација_одржавања
homeland,домовина
honored_entity,почасни_ентитет
host,домаћин
host_location,локација_домаћина
hot_cold_source,топло-хладан_извор
hunter,ловац
hypothesis,хипотеза
hypothetical_event,хипотетички_догађај
idea,идеја
identity,идентитет
idiosyncrasy,идиосинкразија
illicit_activity,недозвољена_активност
illicit_organization,недозвољена_организација
image,слика
impactee,ударени
impactor,ударач
impactors,ударачи
importer,увозник
importing_area,увозно_подручје
imposed_purpose,наметнута_сврха
impression,утисак
incident,инцидент
increment,прираст
independent_variable,независна_променљива
indicated,назначено
indicated_entity,назначени_ентитет
indicated_resident,назначени_становник
indicator,показатељ
individual,појединац
individual_1,појединац_1
individual_2,појединац_2
individuals,појединци
infected_entity,заражени_ентитет
infection,инфекција
infection_cause,узрок_инфекције
inference,закључивање
influence,утицај
influencing_entity,утицајни_ентитет
influencing_situation,утицајна_ситуација
influencing_variable,утицајна_променљива
information,информација
information_source,извор_информација
informer,обавештавач
infrastructure,инфраструктура
ingestibles,уносиве_материје
ingestor,уносилац
ingredients,састојци
inherent_purpose,инхерентна_сврха
initial_category,почетна_категорија
initial_correlate,почетни_корелат
initial_duration,почетно_трајање
initial_element,почетни_елемент
initial_number,почетни_број
initial_quality,почетни_квалитет
initial_set,почетни_скуп
initial_situation,почетна_ситуација
initial_size,почетна_величина
initial_state,почетно_стање
initial_subevent,почетни_поддогађај
initial_temperature,почетна_температура
initial_value,почетна_вредност
injured_party,оштећени
injuring_entity,оштећени_ентитет
injury,повреда
inmates,затвореници
input,улаз
inspector,инспектор
instance,пример
instance_prop,својство_инстанце
institution,институција
instrument,инструмент
insulator,изолатор
intended_academic_credit,намеравана_академска_заслуга
intended_event,намеравани_догађај
intended_goal,намеравани_циљ
intended_perceiver,намеравани_опажач
intended_referent,намеравани_референт
intended_wearing_location,предвиђено_место_ношења
interceptor,пресретач
interest,камата
interested_party,заинтересована_страна
interior,ентеријер
interjection,ускличник
interlocutor,саговорник
interlocutor_1,саговорник_1
interlocutor_2,саговорник_2
interlocutors,саговорници
intermediary,посредник
intermediate_value,средња_вредност
internal_cause,унутрашњи_узрок
interval,интервал
intervention,интервенција
intoxicant,опојно_средство
invader,упадач
invasion_act,чин_инвазије
investigator,истражитељ
issue,питање
issuer,издавалац
item,ствар
item_1,ствар_1
item_2,ствар_2
item_property,својство_ствари
items,ствари
iteration_count,број_понављања
iterations,понављања
itinerary,маршрута
joker,шаљивџија
journey,путовање
judge,судија
judges,судије
judgment,суд
judicial_body,судски_орган
jurisdiction,надлежност
jury,порота
key,кључ
killer,убица
kindler,распиривач
knot,чвор
knowledge,знање
known_resident,познати_становник
label,етикета
land,земљиште
landmark,оријентир
landmark_entity,оријентирни_ентитет
landmark_event,значајан_догађај
landmark_feature,оријентирска_карактеристика
landmark_occasion,оријентирна_прилика
landmark_period,оријентирски_период
landmark_time,референтно_време
language,језик
larger_purpose,већа_намена
law,закон
leader,вођа
legal_basis,правни_основ
lender,зајмодавац
length,дужина
lessee,закупац
lessor,закуподавац
level,ниво
lifestyle,начин_живота
light,светлост
limit1,граница1_1
limit2,граница1_2
limits,границе
limits_of_consideration,границе_разматрања
liquid,течност
loan,зајам
loaner,позајмљивач
locale,место
location,локација
location_of_appearance,локација_појављивања
location_of_assailant,локација_нападача
location_of_confinement,локација_заточеништва
location_of_event,локација_догађаја
location_of_protagonist,локација_протагонисте
location_of_representation,локација_представљања
location_of_sound_source,локација_извора_звука
locus,место
lodger,подстанар
loser,губитник
loyal_side,лојална_страна
main_assertion,главна_тврдња
maleficiary,малефицијар
manifestation_of_bias,испољавање_пристрасности
manipulator,руковалац
manner,начин
manner_descriptor,дескриптор_начина
margin,предност
marker,маркер_
market,тржиште
market_type,тип_тржишта
mass,маса
mass_theme,скуп_ентитета
material,материјал
matter,материја
meaning,значење
means,средство
means_of_communication,начини_комуникације
means_of_gathering,средства_окупљања
means_of_motion,средства_кретања
means_of_propulsion,средства_за_погон
means_of_transfer,средства_преноса
measure,мера
measurement,мерење
medic,медицински_радник
medical_center,медицински_центар
medical_condition,здравствено_стање
medical_professional,медицински_професионалац
medication,лекови
medium,медијум
member,члан
member_1,члан_1
member_2,члан_2
members,чланови
mental_content,ментални_садржај
message,порука
method,метода
military_organization,војна_организација
miner,рудар
mineral,минерал
misdeed,недело
mitigating_situation,олакшавајућа_ситуација
mode_of_transfer,начин_преноса
mode_of_transportation,вид_транспорта
money,новац
money_owner,власник_новца
mother,мајка
multiplier,множилац
name,име
name_source,извор_имена
namesake,имењак
nationality,националност
near_profiled_region,близу_профилисаног_региона
negated_proposition,негиран_предлог
negative_consequences,негативне_последице
network,мрежа
new,нов
new_area,нова_област
new_duration,ново_трајање
new_idea,нова_идеја
new_leader,нови_вођа
new_member,нови_члан
new_order,нови_поредак
new_punishment,нова_казна
new_situation,нова_ситуација
new_status,нови_статус
new_tool,нови_алат
next_subevent,следећи_поддогађај
nodes,чворови
noise_maker,творац_буке
noisy_event,бучан_догађај
norm,норма
normal_location,нормална_локација
number,број
number_of_possibilities,број_могућности
numbers,бројеви
numerator,бројилац_
object,предмет
obligated_party,обавезна_странка
obligation,обавеза
obligator,обвезник
obscuring_medium,затамњујући_медијум
obstruction,опструкција
occasion,прилика
occupant,заузималац
odds,квоте
offender,преступник
offense,прекршај_
offerer,понудилац
official,званични
offspring,потомство
old,стар
old_leader,стари_вођа
old_order,стари_поредак
old_tool,стари_алат
operator,управљач
opinion,мишљење
opponent,противник
opportunity,прилика
opposing_force,супротна_сила
opposite_possibility,супротна_могућност
option_1,опција_1
option_2,опција_2
options,опције
ordinality,ординалност
organism,организам
organization,организација
orientation,оријентација
orientational_location,оријентациона_локација
origin,порекло
original,оригинал
original_body,оригинално_тело
original_context,оригинални_контекст
original_owner,првобитни_власник
original_path,оригинална_путања
original_punishment,првобитна_казна
other,друго
outcome,исход
output,излаз
owed_party,странка_којој_се_дугује
owner,власник
paradigm,парадигма
parameter,параметар
parent_organization,матична_организација
parents,родитељи
part,део
part_1,део_1
part_2,део_2
part_of_form,део_форме
part_prop,својство_дела
participant,учесник
participant1,учесник_1
participant2,учесник_2
participant_1,учесник_1
participant_2,учесник_2
participants,учесници
particular_iteration,посебно_понављање
parties,странке
partner_1,партнер_1
partner_2,партнер_2
partners,партнери
parts,делови
party,странка
party_1,странка_1
party_2,странка_2
path,путања
path_of_gaze,путања_погледа
path_shape,облик_путање
patient,пацијенс
patrol,патрола
pattern,шаблон_
payer,платиша
payment,плаћање
payment_status,статус_плаћања
penal_institution,казнена_установа
perceiver,опажач
perceiver_agentive,опажач_активан
perceiver_passive,опажач_пасиван
percept,перцепт_
perceptual_source,извор_опажаја
performance,перформанс
performer,извођач
performer1,извођач_1
performer2,извођач_2
period,раздобље
period_of_existence,период_постојања
period_of_iterations,период_понављања
periodicity,периодичност
perpetrator,починилац
persistent_characteristic,постојана_карактеристика
person,особа
personnel,особље
phase,фаза
phenomena,појаве
phenomenon,феномен
phenomenon_1,феномен_1
phenomenon_2,феномен_2
picture,слика
piece,комад
piece_prop,својство_комада_
pieces,комади
place,место
place_of_employment,место_запослења
place_of_operation,место_рада
plan,план
plant,биљка
player,играч
plea,изјашњавање_о_кривици
point_of_contact,тачка_контакта
point_of_view,тачка_гледишта
political_region,политички_регион
population,становништво
portal,пролаз
portion,порција
position,положај
position_qualifier,квалификатор_позиције
positive_consequence,позитивна_последица
possession,посесум
possessor,посесор
possibilities,могућности
possible_event,могући_догађај
possible_sentence,могућа_пресуда
post,место_дужности
post_state,наредно_стање
potential_hindrance,потенцијална_сметња
potential_observer,потенцијални_посматрач
potential_recipient,потенцијални_прималац
power_source,извор_напајања
practice,упражњавање
practitioner,практичар
pragmatic_marker,прагматички_маркер
prank,смицалица
precept,начело_
precipitation,падавине
precision,прецизност
predicate,предикат
predictive_phenomenon,предиктивна_појава
preparatory_act,припремни_чин
preparatory_phase,припремна_фаза
presentation,представљање
preventing_cause,спречавање_узрока
previous_context,претходни_контекст
previous_instance,претходна_инстанца
price,цена
principle,принцип
prior_state,претходно_стање
prison,затвор
prisoner,затвореник
prize,награда
problem,проблем
process,процес
produced_food,произведена_храна
producer,продуцент
product,производ
production,производња
products,производи
professional,професионалац
profiled_alternative,профилисана_алтернатива
profiled_attribute,профилисани_атрибут
profiled_event,профилисани_догађај
profiled_item,профилисана_ствар
profiled_possibility,профилисана_могућност
profiled_region,профилисани_регион
project,пројекат
projectile,пројектил
property,имовина
proposal,предлог
proposed_action,предложена_акција
proposition,тврдња
proprietor,власник
prosecution,гоњење
protagonist,протагониста
protagonist_1,протагониста_1
protagonist_2,протагониста_2
protagonists,протагонисти
protection,заштита
protester,протестант
publisher,издавач
punishment,казна
purchaser,набављач
purpose,сврха
purpose_of_donor,сврха_донатора
purpose_of_event,сврха_догађаја
purpose_of_theme,сврха_теме
pursuer,прогонитељ
q_prop,својство_квантитета
qualification,квалификација
quality,квалитет
quantity,количина
question,питање
questioner,испитивач
quote,цитат
range_of_options,распон_опција
rank,ранг
rate,стопа
ratifier,ратификатор
ratio,однос
re-encoding,поновно_кодирање
reader,читалац
reason,разлог
rebel,побуњеник
recipient,прималац
recipients,примаоци
reciprocation,узвраћање
record,запис
recorder,бележник
reference,референца
reference_category,референтна_категорија
reference_occasion,референтна_прилика
reference_point,референтна_тачка
reference_quantity,референтна_количина
referent,референт
refreshment,освежење
region_quantification,квантификација_региона
regulated_entity,регулисани_ентитет
related_event,повезани_догађај
relation,однос
relation_type,тип_односа
relationship,однос
relative_location,релативна_локација
relative_time,релативно_време
relatives,рођаци
relay,даље_изнајмљивање
relevant_feature,релевантна_карактеристика
reliability,поузданост
religion,религија
remainder,остатак
reported_fact,пренесена_чињеница
representation,представљање
representative,представник
represented,представљени
required,неопходан
required_entity,неопходан_ентитет
required_individual,неопходан_појединац
required_situation,захтевана_ситуација
requirement,услов
requirements,захтеви
researcher,истраживач
residence,пребивалиште
resident,становник
residents,становници
resistant_surface,отпорна_површина
resisting_entity,ентитет_који_се_опире
resource,ресурс
resource_controller,контролор_ресурса
responder,онај_који_реагује
responding_entity,ентитет_који_одговара_(на_нешто)
response,одговор
response_action,чин_реакције
responsible_party,одговорна_страна
rest,остало
restrictor,ограничавач
result,резултат
result_size,завршна_величина
resultant_action,резултујућа_акција
resultant_configuration,резултујућа_конфигурација
resultant_situation,резултујућа_ситуација
resulting_action,резултујућа_акција
rider,јахач
right,право
road,пут
roadway,коловоз
role,улога
role_of_focal_participant,улога_фокалног_учесника
rope,конопац
route,рута
rule,правило
salient_activity,истакнута_активност
salient_entity,истакнути_ентитет
salient_event,истакнути_догађај
scale,скала
scene,сцена
scheduled_time,уговорено_време
score,скор
script,сценарио
searcher,трагач
seat,седиште
seat_of_emotion,седиште_емоција
security,безбедност
seeker,трагач
selector,бирач
self_mover,самопокретач
seller,продавац
sender,пошиљалац
sensory_attribute,чулни_атрибут
sent_item,послата_ствар
sentence,пресуда
sentient_entity,свесни_ентитет
service_action,акција_услуге
service_provider,давалац_услуга
services,услуге
set,скуп
set_of_instances,скуп_инстанци
severity,озбиљност
shape,облик
shape_prop,карактеристика_облика
shareholder,акционар
sharpness,оштрина
shopper,особа_која_обавља_куповину
side,страна
side_1,страна_1
side_2,страна_2
side_effects,нуспојаве
sides,стране
sign,знак
sign_1,знак_1
sign_2,знак_2
signatory,потписник
signature,потпис
signs,знакови
simulated_entity,симулирани_ентитет
situation,ситуација
size,величина
size_change,промена_величине
skill,вештина
sleep_state,стање_спавања
sleeper,спавач
social_actor,друштвени_актер
social_event,друштвени_догађај
society,друштво
sought_entity,тражени_ентитет
sought_phenomenon,тражена_појава
sound,звук
sound_maker,творац_звука
sound_source,извор_звука
source,извор
source_currency,изворна_валута
source_emitter,извор_емисије
source_material,изворни_материјал
source_of_authority,извор_власти
source_of_information,извор_информација
source_of_legal_authority,извор_правног_ауторитета
source_of_relationship,извор_односа
source_representation,изворни_приказ
source_symbol,изворни_симбол
speaker,говорник
specialty,специјалност
specification,спецификација
specified_content,одређени_садржај
specified_entity,одређени_ентитет
speed,брзина
standard,стандард
standard_attribute,стандардни_атрибут
standard_item,стандардна_ствар
standing,пласман
start_time,почетно_време
starting_point,полазна_тачка
state,стање
state_of_affairs,стање_ствари
state_of_represented,стање_представљеног
static_object,непокретан_објекат
station,станица
status,статус
stimulus,стимулус
stock,деоница
strength,снага
student,ученик
studio,студио
stuff,предмет_мерења
style,стил
sub-source,подизвор
subevent,поддогађај
subgroup,подгрупа
subject,предмет_учења
subjects,предмети
submittor,подносилац
subordinate,подређени
subpart,поддео
subpart_property,поддео_својство
subregion,подобласт
subregion_bodypart,подрегија_део_тела
subset,подскуп
substance,супстанца
subtype,подтип
sufferer,патник
sum_1,збир_1
sum_2,збир_2
summary,резиме
superior,надређени
superset,надскуп
supplier,добављач
supply,залиха
support,подршка
supported,подржан
supporter,присталица_
surface,површина
surrenderer,особа_која_се_предаје
survivor,преживели
suspect,осумњичени
symptom,симптом
system,систем
systemic_effect,системски_ефекат
target,мета
target_currency,циљна_валута
target_group,циљна_група
target_location,циљна_локација
target_representation,циљни_приказ
target_symbol,циљни_симбол
target_value,циљна_вредност
targeted,циљани
task,задатак
teacher,учитељ
team,тим
temperature,температура
temperature_change,промена_температуре
temperature_goal,температурни_циљ
temperature_setting,подешавање_температуре
temperature_start,почетна_температура
temporal,временски
temporal_profile,временски_профил
temporary_group,привремена_група
term,термин
term1,термин_1
term2,термин_2
term_1,термин_1
term_2,термин_2
term_of_sentence,трајање_пресуде
terms,изрази
terrorist,терориста
tested_property,тестирано_својство
tester,тестер
text,текст
textual_location,текстуална_локација
theme,тема
theme_1,тема_1
theme_2,тема_2
themes,теме
time,време
time_length,дужина_времена
time_of_creation,време_стварања
time_of_event,време_догађаја
time_of_eventuality,време_догађајности
time_of_implementation,време_имплементације
time_of_phenomenon,време_појаве
time_period,временски_период
time_span,временски_распон
timespan,временски_распон
timetable,распоред
title,наслов
tool,оруђе
tools,алатке
topic,предмет_разговора
topical_entity,тематски_ентитет
total,укупан
tourist,туриста
toxic_substance,токсична_супстанца
toxin_source,извор_токсина
trajector,трајектор
trajector_entity,трајекторски_ентитет
trajector_event,трајекторски_догађај
trajector_period,трајекторски_период_
transferors,преносиоци
transitional_period,прелазни_период
transport_means,транспортна_средства
trap,замка
travel_means,средство_путовања
traveler,путник
traveller,путник
treated_individual,лечени_појединац
treatment,третман
treatment_group,група_за_лечење
trigger,окидач
type,тип
type_of_possession,врста_посесума
type_property,врста_имовине
uncertain_situation,неизвесна_ситуација
unconfirmed_content,непотврђени_садржај
undertaking,подухват
undesirable_consequence,нежељена_последица
undesirable_event,нежељени_догађај
undesirable_location,нежељена_локација
undesirable_situation,нежељена_ситуација
unit,јединица
unresolved_referent,неразрешени_референт
unwanted_characteristics,нежељене_карактеристике
unwanted_entity,нежељени_ентитет
use,употреба
useful_location,корисна_локација
user,корисник
value,вредност
value_1,вредност_1
value_2,вредност_2
value_range,опсег_вредности
valued_entity,процењивани_ентитет
vantage_point,видиковац
variable,променљива
vehicle,возило
vehicles,возила
venue,место_одржавања
victim,жртва
viewpoint,становиште
visitor,посетилац
vividness,живописност
voice,глас
volume,јачина
weapon,оружје
wearer,носилац
weather,временске_прилике
whole,целина
whole_patient,цео_пацијенс
wielder,руковалац
winner,победник
witness,сведок
work,рад
wrong,погрешка
wrongdoer,злочинитељ
