Line,"English Entry","Serbian Translation"
2379,fe_path_3266,fe_путања_3266
2380,fe_purpose_3268,fe_сврха_3268
2381,fe_reason_3269,fe_разлог_3269
2382,fe_result_3270,fe_резултат_3270
2383,fe_source_3271,fe_извор_3271
2384,fe_theme_3272,fe_тема_3272
2385,fe_time_3273,fe_време_3273
2386,fe_area_3275,fe_област_3275
2387,fe_carrier_3276,fe_носач_3276
2388,fe_distance_3277,fe_удаљеност_3277
2389,fe_duration_3278,fe_трајање_3278
2390,fe_speed_3279,fe_брзина_3279
2429,fe_product_3323,fe_производ_3323
2430,fe_proprietor_3324,fe_власник_3324
2435,fe_descriptor_3329,fe_дескриптор_3329
2436,fe_place_3330,fe_место_3330
2491,fe_business_3385,fe_посао_3385
2492,fe_business_name_3386,fe_назив_фирме_3386
2493,fe_service_provider_3387,fe_давалац_услуга_3387
2591,fe_depictive_3491,fe_опис_3491
2626,fe_patient_3528,fe_пацијенс_3528
2637,fe_ethnicity_3540,fe_етничка_припадност_3540
2656,fe_context_of_acquaintance_3561,fe_контекст_познанства_3561
2660,fe_chosen_3565,fe_изабрани_3565
2661,fe_cognizer_3566,fe_спознавалац_3566
2662,fe_weather_3567,fe_временске_прилике_3567
2663,fe_depictive_3568,fe_опис_3568
2664,fe_imposed_purpose_3569,fe_наметнута_сврха_3569
2665,fe_manner_3570,fe_начин_3570
2666,fe_means_3571,fe_средство_3571
2667,fe_place_3572,fe_место_3572
2668,fe_possibilities_3573,fe_могућности_3573
2669,fe_purpose_3574,fe_сврха_3574
2670,fe_explanation_3575,fe_објашњење_3575
2671,fe_time_3576,fe_време_3576
2672,fe_displaced_cognizer_3578,fe_измештени_спознавалац_3578
2751,fe_depictive_3660,fe_опис_3660
2962,fe_location_of_event_3894,fe_локација_догађаја_3894
2963,fe_experiencer_3895,fe_доживљавач_3895
2964,fe_time_of_event_3896,fe_време_догађаја_3896
2965,fe_focal_participant_3897,fe_фокални_учесник_3897
2967,fe_entity_3899,fe_ентитет_3899
2968,fe_color_3900,fe_боја_3900
2969,fe_type_3901,fe_тип_3901
2970,fe_comparand_3902,fe_објекат_са_којим_се_пореди_3902
2971,fe_color_qualifier_3903,fe_квалификатор_боје_3903
2972,fe_descriptor_3904,fe_дескриптор_3904
2981,fe_time_3913,fe_време_3913
3010,fe_cause_3945,fe_узрок_3945
3016,fe_degree_3952,fe_степен_3952
3102,fe_assessor_4110,fe_процењивач_4110
3103,fe_phenomenon_4111,fe_феномен_4111
3105,fe_feature_4113,fe_карактеристика_4113
3135,fe_bearer_4181,fe_доносилац_4181
3136,fe_issuer_4187,fe_издавалац_4187
3137,fe_obligation_4188,fe_обавеза_4188
3138,fe_right_4189,fe_право_4189
3139,fe_status_4190,fe_статус_4190
3140,fe_specification_4191,fe_спецификација_4191
3141,fe_document_4192,fe_документ_4192
3208,fe_manner_4440,fe_начин_4440
3209,fe_manner_4441,fe_начин_4441
3210,fe_manner_4442,fe_начин_4442
3211,fe_manner_4443,fe_начин_4443
3213,fe_recipient_4445,fe_прималац_4445
3258,fe_wearer_4512,fe_носилац_4512
3274,fe_manner_4540,fe_начин_4540
3282,fe_result_4550,fe_резултат_4550
3332,fe_subregion_4622,fe_подобласт_4622
3494,fe_place_4845,fe_место_4845
3631,fe_manner_5370,fe_начин_5370
3632,fe_means_5371,fe_средство_5371
3633,fe_time_5372,fe_време_5372
3771,fe_entity_5611,fe_ентитет_5611
3772,fe_container_5612,fe_садржатељ_5612
3773,fe_heat_source_5613,fe_извор_топлоте_5613
3774,fe_place_5614,fe_место_5614
3775,fe_medium_5615,fe_медијум_5615
3776,fe_manner_5616,fe_начин_5616
3777,fe_time_5617,fe_време_5617
3794,fe_cognizer_5640,fe_спознавалац_5640
3795,fe_item_5641,fe_ствар_5641
3796,fe_criteria_5642,fe_критеријуми_5642
3797,fe_category_5643,fe_категорија_5643
3830,fe_venue_5676,fe_место_одржавања_5676
3951,fe_part_5924,fe_део_5924
3952,fe_whole_5925,fe_целина_5925
3953,fe_descriptor_5926,fe_дескриптор_5926
3954,fe_orientation_5927,fe_оријентација_5927
3955,fe_material_5928,fe_материјал_5928
3956,fe_creator_5929,fe_стваралац_5929
3964,fe_person_5937,fe_особа_5937
3970,fe_origin_5943,fe_порекло_5943
3971,fe_person_5944,fe_особа_5944
3972,fe_persistent_characteristic_5945,fe_постојана_карактеристика_5945
3973,fe_descriptor_5946,fe_дескриптор_5946
3974,fe_age_5947,fe_старост_5947
3975,fe_ethnicity_5948,fe_етничка_припадност_5948
3976,fe_context_of_acquaintance_5949,fe_контекст_познанства_5949
4029,fe_building_6037,fe_зграда_6037
4030,fe_function_6038,fe_функција_6038
4031,fe_name_6039,fe_име_6039
4032,fe_material_6040,fe_материјал_6040
4033,fe_time_of_creation_6041,fe_време_стварања_6041
4034,fe_type_6042,fe_тип_6042
4166,fe_entity_6257,fe_ентитет_6257
4170,fe_origin_6262,fe_порекло_6262
4171,fe_person_6263,fe_особа_6263
4172,fe_persistent_characteristic_6264,fe_постојана_карактеристика_6264
4173,fe_descriptor_6265,fe_дескриптор_6265
4174,fe_age_6266,fe_старост_6266
4175,fe_ethnicity_6267,fe_етничка_припадност_6267
4176,fe_context_of_acquaintance_6268,fe_контекст_познанства_6268
4177,fe_rank_6269,fe_ранг_6269
4178,fe_place_of_employment_6272,fe_место_запослења_6272
4179,fe_employer_6273,fe_послодавац_6273
4180,fe_type_6274,fe_тип_6274
4181,fe_compensation_6280,fe_компензација_6280
4182,fe_contract_basis_6281,fe_уговорна_основа_6281
4266,fe_judge_6394,fe_судија_6394
4483,fe_use_6697,fe_употреба_6697
4554,fe_initial_quality_6838,fe_почетни_квалитет_6838
4555,fe_final_quality_6839,fe_завршни_квалитет_6839
4596,fe_money_owner_6893,fe_власник_новца_6893
4597,fe_sum_1_6894,fe_збир_1_6894
4598,fe_source_currency_6895,fe_изворна_валута_6895
4599,fe_sum_2_6896,fe_збир_2_6896
4600,fe_exchange_service_6897,fe_сервис_размене_6897
4601,fe_target_currency_6898,fe_циљна_валута_6898
4602,fe_place_6899,fe_место_6899
4603,fe_time_6900,fe_време_6900
4604,fe_manner_6901,fe_начин_6901
4605,fe_exchange_rate_6902,fe_курс_6902
4650,fe_descriptor_6966,fe_дескриптор_6966
4669,fe_manner_6986,fe_начин_6986
4670,fe_purpose_6987,fe_сврха_6987
4740,fe_descriptor_7150,fe_дескриптор_7150
4825,fe_explanation_7310,fe_објашњење_7310
4826,fe_temperature_7311,fe_температура_7311
4827,fe_duration_7312,fe_трајање_7312
4922,fe_method_7437,fe_метода_7437
4926,fe_means_7442,fe_средство_7442
4930,fe_time_7450,fe_време_7450
4953,fe_purpose_7477,fe_сврха_7477
4954,fe_place_7478,fe_место_7478
5043,fe_material_7625,fe_материјал_7625
5044,fe_type_7626,fe_тип_7626
5045,fe_origin_7627,fe_порекло_7627
5046,fe_descriptor_7628,fe_дескриптор_7628
5047,fe_use_7629,fe_употреба_7629
5048,fe_product_7630,fe_производ_7630
5121,fe_message_7719,fe_порука_7719
5314,fe_attribute_8018,fe_атрибут_8018
5350,fe_activity_8074,fe_активност_8074
5351,fe_place_8075,fe_место_8075
5352,fe_possessor_8076,fe_посесор_8076
5353,fe_resource_8077,fe_ресурс_8077
5354,fe_user_8078,fe_корисник_8078
5355,fe_descriptor_8079,fe_дескриптор_8079
5894,fe_correlated_variable_8773,fe_корелациона_променљива_8773
5923,fe_collection_8810,fe_збирка_8810
5924,fe_quantity_8811,fe_количина_8811
5925,fe_degree_8812,fe_степен_8812
5926,fe_time_8813,fe_време_8813
5927,fe_circumstances_8814,fe_околности_8814
5928,fe_measure_8815,fe_мера_8815
5929,fe_place_8816,fe_место_8816
6171,fe_medium_9152,fe_медијум_9152
6172,fe_co-participant_9153,fe_саучесник_9153
6346,fe_frequency_9402,fe_фреквенција_9402
6410,fe_means_9483,fe_средство_9483
6489,fe_infrastructure_9589,fe_инфраструктура_9589
6545,fe_means_9652,fe_средство_9652
6546,fe_purpose_9653,fe_сврха_9653
6571,fe_building_part_9680,fe_грађевински_део_9680
6572,fe_whole_9681,fe_целина_9681
6573,fe_use_9682,fe_употреба_9682
6574,fe_type_9683,fe_тип_9683
6670,fe_direction_9786,fe_правац_9786
6742,fe_duration_9889,fe_трајање_9889
6743,fe_purpose_9890,fe_сврха_9890
6745,fe_degree_9892,fe_степен_9892
6856,fe_circumstances_10050,fe_околности_10050
6857,fe_purpose_10051,fe_сврха_10051
6858,fe_depictive_10052,fe_опис_10052
6859,fe_result_10053,fe_резултат_10053
6860,fe_beneficiary_10054,fe_бенефицијар_10054
6861,fe_depictive_10055,fe_опис_10055
6989,fe_communicative_force_10242,fe_комуникативна_снага_10242
6998,fe_circumstances_10252,fe_околности_10252
7021,fe_communicative_force_10278,fe_комуникативна_снага_10278
7122,fe_medium_10412,fe_медијум_10412
7138,fe_communicative_force_10442,fe_комуникативна_снага_10442
7190,fe_communicative_force_10502,fe_комуникативна_снага_10502
7257,fe_communicative_force_10595,fe_комуникативна_снага_10595
7270,fe_communicative_force_10608,fe_комуникативна_снага_10608
7345,fe_communicative_force_10710,fe_комуникативна_снага_10710
7425,fe_time_10821,fe_време_10821
7435,fe_descriptor_10837,fe_дескриптор_10837
7442,fe_descriptor_10846,fe_дескриптор_10846
7602,fe_circumstances_11084,fe_околности_11084
7664,fe_guest_11174,fe_гост_11174
7665,fe_location_11175,fe_локација_11175
7666,fe_duration_11176,fe_трајање_11176
7668,fe_co-participant_11181,fe_саучесник_11181
7670,fe_time_11183,fe_време_11183
7671,fe_host_11184,fe_домаћин_11184
7707,fe_place_11235,fe_место_11235
7819,fe_tourist_11395,fe_туриста_11395
7820,fe_attraction_11396,fe_привлачност_11396
7821,fe_depictive_11400,fe_опис_11400
7822,fe_ground_11401,fe_основа_11401
7823,fe_manner_11402,fe_начин_11402
7824,fe_means_11403,fe_средство_11403
7825,fe_time_11404,fe_време_11404
7826,fe_purpose_11405,fe_сврха_11405
7827,fe_place_11406,fe_место_11406
7828,fe_duration_11407,fe_трајање_11407
7897,fe_purpose_11521,fe_сврха_11521
7898,fe_means_11522,fe_средство_11522
7899,fe_manner_11523,fe_начин_11523
7900,fe_frequency_11524,fe_фреквенција_11524
7901,fe_iterations_11525,fe_понављања_11525
7924,fe_related_event_11571,fe_повезани_догађај_11571
7935,fe_official_11583,fe_званични_11583
7997,fe_particular_iteration_11693,fe_посебно_понављање_11693
8001,fe_descriptor_11697,fe_дескриптор_11697
8003,fe_place_11710,fe_место_11710
8004,fe_explanation_11711,fe_објашњење_11711
8005,fe_containing_event_11712,fe_садржавајући_догађај_11712
8006,fe_communicative_force_11720,fe_комуникативна_снага_11720
8237,fe_relative_location_12045,fe_релативна_локација_12045
8461,fe_agent_12338,fe_агенс_12338
8462,fe_theme_12339,fe_тема_12339
8463,fe_place_12340,fe_место_12340
8464,fe_time_12341,fe_време_12341
8465,fe_manner_12342,fe_начин_12342
8466,fe_duration_12343,fe_трајање_12343
8683,fe_communicative_force_12645,fe_комуникативна_снага_12645
8720,fe_communicative_force_12693,fe_комуникативна_снага_12693
8750,fe_communicative_force_12747,fe_комуникативна_снага_12747
8787,fe_venue_12794,fe_место_одржавања_12794
8806,fe_communicative_force_12815,fe_комуникативна_снага_12815
8830,fe_communicative_force_12841,fe_комуникативна_снага_12841
8849,fe_explanation_12861,fe_објашњење_12861
8850,fe_depictive_12862,fe_опис_12862
8868,fe_communicative_force_12883,fe_комуникативна_снага_12883
9150,fe_inherent_purpose_13426,fe_инхерентна_сврха_13426
9162,fe_money_13451,fe_новац_13451
9177,fe_frequency_13476,fe_фреквенција_13476
9189,fe_co-participant_13490,fe_саучесник_13490
9581,fe_descriptor_14141,fe_дескриптор_14141
9658,fe_name_14282,fe_име_14282
9705,fe_competition_14369,fe_такмичење_14369
9706,fe_agent_14370,fe_агенс_14370
9707,fe_name_14372,fe_име_14372
9748,fe_experiencer_14448,fe_доживљавач_14448
9749,fe_lifestyle_14449,fe_начин_живота_14449
9750,fe_manner_14450,fe_начин_14450
9751,fe_time_14451,fe_време_14451
9752,fe_degree_14452,fe_степен_14452
9753,fe_place_14454,fe_место_14454
9773,fe_domain_14476,fe_домен_14476
9774,fe_descriptor_14477,fe_дескриптор_14477
9777,fe_degree_14482,fe_степен_14482
9955,fe_place_14729,fe_место_14729
10253,fe_evaluee_15070,fe_процењивани_15070
10267,fe_place_15102,fe_место_15102
10376,fe_time_15235,fe_време_15235
10404,fe_scheduled_time_15265,fe_уговорено_време_15265
10697,fe_communicative_force_15650,fe_комуникативна_снага_15650
10801,fe_descriptor_15824,fe_дескриптор_15824
10819,fe_agent_15871,fe_агенс_15871
10820,fe_theme_15872,fe_тема_15872
10850,fe_means_15920,fe_средство_15920
10851,fe_purpose_15921,fe_сврха_15921
10879,fe_event_description_15962,fe_опис_догађаја_15962
10880,fe_distant_profiled_region_15963,fe_удаљени_профилисани_регион_15963
10881,fe_beneficiary_15964,fe_бенефицијар_15964
11058,fe_possessor_16181,fe_посесор_16181
11175,fe_theme_16376,fe_тема_16376
11176,fe_location_16377,fe_локација_16377
11177,fe_degree_16378,fe_степен_16378
11178,fe_time_16380,fe_време_16380
11286,fe_place_16568,fe_место_16568
11287,fe_pragmatic_marker_16569,fe_прагматички_маркер_16569
11289,fe_final_situation_16590,fe_завршна_ситуација_16590
11290,fe_place_16594,fe_место_16594
11291,fe_time_16595,fe_време_16595
11292,fe_duration_of_final_state_16596,fe_трајање_завршног_стања_16596
11293,fe_manner_16597,fe_начин_16597
11294,fe_entity_16598,fe_ентитет_16598
11295,fe_final_quality_16599,fe_завршни_квалитет_16599
11296,fe_final_category_16600,fe_завршна_категорија_16600
11297,fe_transitional_period_16601,fe_прелазни_период_16601
11298,fe_initial_state_16602,fe_почетно_стање_16602
11299,fe_circumstances_16603,fe_околности_16603
11300,fe_initial_category_16604,fe_почетна_категорија_16604
11301,fe_group_16605,fe_група_16605
11302,fe_explanation_16606,fe_објашњење_16606
11324,fe_initial_situation_16639,fe_почетна_ситуација_16639
11393,fe_authorities_16730,fe_надлежни_органи_16730
11394,fe_suspect_16731,fe_осумњичени_16731
11395,fe_witness_16732,fe_сведок_16732
11396,fe_victim_16733,fe_жртва_16733
11397,fe_composite_number_16735,fe_сложени_број_16735
11398,fe_unit_16740,fe_јединица_16740
11403,fe_degree_16770,fe_степен_16770
11404,fe_dimension_16780,fe_димензија_16780
11406,fe_landmark_period_16790,fe_оријентирски_период_16790
11407,fe_trajector_event_16791,fe_трајекторски_догађај_16791
11410,fe_descriptor_16804,fe_дескриптор_16804
11416,fe_weapon_16819,fe_оружје_16819
11417,fe_place_16820,fe_место_16820
11418,fe_circumstances_16821,fe_околности_16821
11419,fe_descriptor_16831,fe_дескриптор_16831
11420,fe_duration_16832,fe_трајање_16832
11452,fe_duration_16870,fe_трајање_16870
11453,fe_averted_situation_16871,fe_избегнута_ситуација_16871
11454,fe_time_16872,fe_време_16872
11455,fe_place_16873,fe_место_16873
11456,fe_apparent_conclusion_16874,fe_привидан_закључак_16874
11487,fe_manner_16910,fe_начин_16910
11488,fe_place_16911,fe_место_16911
11489,fe_purpose_16912,fe_сврха_16912
11491,fe_time_16914,fe_време_16914
11492,fe_payment_16915,fe_плаћање_16915
11493,fe_Experiencer,fe_доживљавач_
11494,fe_Time,fe_време_
