lemmaCorrected,lemmaName(pt),lemmaName(en),idUDPOS,senseDescription(pt)
duque,duquesa,duchess,8,"FN: a esposa ou viúva de um duque, ou uma mulher que detém um posto equivalente ao de duque"
Khedive,Khedive,khedive,8,"COD: o título do vice-rei do Egito sob domínio turco 1867-1914"
pacha,pacha,pasha,8,"COD: O título de um oficial turco de alto escalão."
"senhor supremo","senhor supremo",overlord,8,"COD: O senhor, especialmente um senhor feudal."
"senhor do tráfico","senhor do tráfico","drug lord",8,"FN: O líder de uma organização criminosa que tráfico de drogas ilegais"
diretor-geral,diretor-geral,"director general",8,"COD: o diretor-executivo de uma grande organização."
"alto sacerdote","alto sacerdote","high priest",8,"FN: um padre com autoridade sobre um grande número de pessoas."
"deputado federal","deputado federal",congressman,8,"FN: um oficial masculino que é membro do congresso e, especialmente, da Câmara dos Representantes dos EUA"
major-general,major-general,"major general",1,"FN: um posto dentro de várias forças armadas ao redor do mundo"
"príncipe herdeiro","príncipe herdeiro","crown prince",8,"FN: um príncipe"
CEO,CEO,ceo,8,"Veja: diretor executivo."
diretor-executivo,Diretor-Executivo,"chief executive officer",8,"FN: o executivo de mais alto escalão responsável pela gestão total de uma empresa ou organização."
deputado,deputada,congresswoman,8,"FN: uma funcionária feminina que é membro do Congresso e, especialmente, da Câmara dos Representantes dos EUA"
"ter influência","ter influência","hold sway",16,"FN: tem controle (sobre alguma jurisdição ou grupo)."
"por todo","por todo","all over",2,"FN: cobrindo completamente."
engrandecimento,aggrandecimento,aggrandizement,8,"FN: o resultado de fazer algo parecer maior."
esticar,"Aumentar o comprimento",lengthen,16,"COD: fazer ou ficar mais longo."
bolsa,"bolsa de mão",handbag,8,"COD: (Brit.) uma pequena bolsa usada por uma mulher para carregar itens pessoais diários."
"colher de chá","colher de chá",teaspoon,8,"COD: uma colher pequena usada para adicionar açúcar a bebidas quentes ou para comer alguns alimentos."
bolsa,"bolsa grande",carryall,8,"COD: (N. Amer.) uma grande bolsa ou estojo."
cremeira,cremeira,creamer,8,"COD: (N. Amer.) uma jarra para creme."
decantador,decantador,decanter,8,"COD: um recipiente de vidro com tampa que é utilizado para despejar vinho ou espírito"
bolsa,"bolsa de lona","duffel bag",8,"FN: uma bolsa de lona cilíndrica"
graal,graal,grail,8,"COD: (na lenda medieval) a taça ou bandeja usada por Cristo na Última Ceia e na qual José de Arimateia recebeu o sangue de Cristo, especialmente como objeto de buscas por cavaleiros."
jeroboão,Jeroboão,jeroboam,8,"COD: uma garrafa de vinho com capacidade quatro vezes maior que a de uma garrafa comum"
dosador,doseador,jigger,8,"FN: um pequeno copo usado para bebidas alcoólicas"
magnum,magnum,magnum,8,"COD: uma garrafa de vinho do dobro do tamanho padrão, normalmente 112 litros"
ramequin,ramequin,ramekin,8,"COD: uma pequena tigela para assar e servir uma porção individual de comida."
samovar,samovar,samovar,8,"COD: uma urna de chá russa altamente decorada"
copo,"copo balão",snifter,8,"COD: um copo de balão para conhaque"
"garrafa térmica","garrafa térmica",thermos,8,"COD: (marca registrada) uma garrafa de vácuo."
viveiro,vivário,vivarium,8,"COD: uma gaiola ou estrutura usada para manter animais em condições semi-naturais para observação ou estudo ou como animais de estimação; um aquário ou terrário."
tigela,"Tigela de ponche","punch bowl",8,"COD: uma tigela rasa para misturar e servir ponche."
"garrafa de vinho","garrafa de vinho","wine bottle",8,"COD: uma garrafa de vidro para vinho, do tamanho padrão com capacidade de 75 cl ou 2623 fl. oz."
cômoda,cômoda,"chest of drawers",8,"COD: uma peça de mobiliário usada para armazenamento, consistindo em um quadro ereto no qual são encaixados gavetas"
"garrafa de água quente","garrafa de água quente","hot-water bottle",8,"COD: um recipiente de borracha alongado e achatado que é preenchido com água quente e usado para aquecer uma cama ou parte do corpo"
cachepot,Cachepot,planter,8,"COD: recipiente decorativo no qual as plantas são cultivadas"
"aquário de peixinho dourado","aquário de peixinho dourado","goldfish bowl",1,"FN: uma tigela para peixes dourados de estimação, geralmente parcialmente esférica. Frequentemente usada metaforicamente para descrever uma situação em que os outros podem ver tudo o que alguém faz."
"vaso de flores","vaso de flores",flowerpot,8,"Um pequeno recipiente, tipicamente com lados inclinados e feito de plástico ou cerâmica, usado para cultivar uma planta dentro dele."
duradouro,duradoura,sustained,1,"FN: Duradouro"
cada,cada,every,2,"COD: usado para indicar algo acontecendo em intervalos especificados."
"por vezes","por vezes","at times",3,"FN: às vezes."
preceder,Precede,precede,16,"COD: antes do tempo, ordem ou posição."
"seguir de perto","seguir de perto","come on heels",16,"Acompanhar logo depois"
"antes tarde do que nunca","antes que tarde","sooner rather than later",3,"FN: em um momento mais próximo da hora do POV (devido à urgência)"
"em paralelo","em paralelo","in parallel",1,"COD: ocorrendo ou existente ao mesmo tempo ou de forma semelhante; correspondente."
tarde,tarde,"late [at night]",1,"FN: ocorrendo em um momento perto do fim de um dia."
successivo,successivos,successive,1,"Seguir-se uns aos outros ou seguir os outros."
mercadoria,Mercadorias,goods,8,"COD: bens ou posses."
"lado da oferta","lado da oferta","supply side",8,"FN: um conjunto genérico de vendedores envolvidos em transações"
"baixo custo",baixo-custo,low-cost,1,"FN: carregado a um preço relativamente baixo."
"baixo custo","de baixo custo",low-priced,1,"FN: cobrado a um preço menor do que o habitual"
parsimônia,Parsimônia,parsimony,8,"COD: extrema relutância em gastar dinheiro ou usar recursos."
"fazer lobby","fazer lobby",lobby,16,"COD: busca influenciar (um legislador)."
"o que acontece","o que acontece","what become",16,"FN: (questionando o sujeito) acontecer [a implicar impacto negativo provável na entidade afetada]"
"vender a ideia","vender a ideia de","sell (on)",16,"FN: convencer de algo improvável ou errado, muitas vezes usando argumentos duvidosos."
explodir,explode,explode,16,"COD: aumentar de repente em número ou extensão."
aproximar-se,aproximar-se,edge,16,"FN: mover-se ligeiramente para cima ou para baixo em valor"
"para baixo","para baixo",down,2,"FN: tendo diminuído (de alguma quantidade).
"confronto final","confronto final",showdown,8,"COD: o teste ou confronto final destinado a resolver uma disputa."
"luta de punho","Luta de punho",fistfight,8,"COD: uma briga com os punhos"
"guerra química","guerra química",cw,8,"FN: guerra química"
"guerra biológica","guerra biológica",bw,8,"Guerra biológica"
"corpo a corpo","conflito interno",infighting,8,"FN: combate corpo a corpo"
ladrão,"batedor de carteiras",pickpocket,8,"COD: uma pessoa que rouba dos bolsos das pessoas"
"mão leve","mão leve",light-fingered,1,"FN: habilidoso em ou dado a pequenos furtos."
apropriar-se,"apropriar-se indevidamente",misappropriate,16,"COD: tomar de forma desonesta ou injusta para uso próprio."
roubar,"roubar na loja",shoplift,16,"FN: roubar mercadorias de uma loja fingindo ser um cliente."
furto,"furto em loja",shoplifting,8,"FN: o ato de roubar mercadorias de uma loja fingindo ser um cliente"
ladrão,"batedor de carteiras",pickpocket,16,"FN: roubar nos bolsos das pessoas"
roubar,abigeatar,rustle,16,"FN: roubar (especialmente gado)."
"nas alturas","nas alturas","through the roof",3,"FN: (de uma quantidade) extremamente alto, especialmente em comparação com valores anteriores."
decidir,decide,decide,16,"FN: levar alguém a uma conclusão específica."
"assalto à mão armada","assalto à mão armada",hold-up,8,"FN: O ato ou instância de parar e roubar à força."
roubar,"roubar completamente","rob blind",16,"FN: roubar muito completamente"
"término de relacionamento","término de relacionamento",break-up,8,"FN: o fim de um relacionamento pessoal."
divorciado,divorciado(a),divorced,1,"FN: tendo dissolvido legalmente um casamento"
amado,amada,inamorata,8,"FN: uma mulher com quem se está apaixonado"
"sugar daddy","sugar daddy","sugar daddy",8,"COD: um homem rico e idoso que oferece presentes generosos a uma jovem em troca de sua companhia ou favores sexuais."
crush,crush,crush,8,"COD: uma intensa obsessão"
ficada,ficada,groping,8,"Relacionamento rápido, amoroso ou sexual, nada muito sério."
ficada,ficada,"making out",8,"Relacionamento rápido, amoroso ou sexual, nada muito sério."
"dormir juntos","Dormir juntos","sleep together",16,"COD: ter relações sexuais ou estar envolvido em uma relação sexual."
variedade,assortimento,assortment,8,"COD: uma coleção diversificada"
sogra,sogra,mother-in-law,8,"FN: a mãe do cônjuge de uma pessoa"
enteada,enteada,stepdaughter,8,"COD: filha do marido ou esposa de alguém por um casamento anterior"
meia-irmã,meia-irmã,stepsister,8,"COD: uma filha de um padrasto ou madrasta por um casamento diferente do que com o próprio pai ou mãe"
cunhada,cunhada,sister-in-law,8,"COD: a irmã da esposa ou do marido de alguém, ou a esposa do irmão ou do cunhado de alguém."
bisneta,bisneta,great-granddaughter,8,"FN: filha do filho de alguém."
parente,parentes,kinsfolk,8,"COD: (em uso antropológico ou formal) os laços sanguíneos de uma pessoa, considerados coletivamente"
parente,parenta,kinswoman,8,"FN: uma das relações femininas de sangue de uma pessoa"
parente,parentes,kin,8,"COD: no singular. Trata-se do plural de um substantivo que significa ""um(a)'s família e parentes""."
brilhar,brilhe,shine,16,"FN: iluminar um objeto emitindo uma luz brilhante"
cintilar,scintilar,scintillate,16,"FN: iluminar uma entidade emitindo flashes de luz"
"brilho fraco","brilho fraco",glimmer,8,"FN: uma luz fraca ou vacilante brilhando em uma entidade"
lambente,lambente,lambent,1,"COD: brilhante ou piscando com um brilho suave."
centrífuga,centrífuga,centrifuge,8,"COD: uma máquina com um recipiente que gira rapidamente, aplicando força centrífuga ao seu conteúdo, usada principalmente para separar líquidos de sólidos."
amplo,ampla,broad,1,"COD: de uma distância especificada de largura"
circunferência,circumferência,circumference,8,"COD: o limite delimitador de um círculo."
"ao redor","ao redor",around,3,"FN: indicando que uma medição se refere a um perímetro ou circunferência."
residir,reside,reside,16,"COD: ter uma residência permanente em um lugar específico."
ficar,fique,stay,16,"COD: ficar de noite na casa de alguém ou em um hotel."
"morar junto","morar junto","shack up",16,"FN: ficar ou residir com (especialmente casais não casados)"
professor,professora,schoolmistress,8,"COD: uma professora feminina em uma escola"
formado,formado,graduate,8,"COD: uma pessoa que obteve um primeiro grau acadêmico ou (Am. do Norte) um diploma do ensino médio."
impalar,impalar,impale,16,"COD: transfixar ou perfurar com um instrumento afiado."
tender,tende,tend,16,"COD: ser provável
poder,poderia,might,16,"FN: usado para expressar possibilidade"
ir,iria,would,16,"FN: usado para indicar um estado ou ação condicional"
"acaso infeliz","acaso infeliz",mischance,8,"COD: um acontecimento infeliz"
missão,"quest",quest,8,"COD: uma busca longa ou árdua."
conformar-se,conformar-se,conform,16,"COD: cumprir regras, padrões ou leis"
"seguir as regras","Seguir as regras","play by the rules",16,"FN: conformar-se às normas sociais ou outras, mais específicas"
"não conformidade","não conformidade",noncompliance,8,"FN: Não obedecendo às regras."
ativo,ativos,assets,8,"COD: propriedade de uma pessoa ou empresa, considerada como tendo valor e estando disponível para atender dívidas, compromissos ou legados."
ter,tenho,got,16,"FN: Possuir um objeto; ou, proclamar confiabilidade.
possuir,possuir,own,11,"Possuída por uma entidade."
arraignment,Arraignment,arraignment,8,"FN: o chamado de um réu perante um tribunal para responder a uma acusação criminal"
carjacking,Carjacking,carjacking,8,"COD: o ato de roubar um carro após ejetar violentamente seu motorista."
"festa de gala","festa de gala",gala,8,"COD: uma entretenimento ou apresentação festiva"
loiro,loira,blonde,1,"COD: (de cabelo) loiro ou amarelo pálido. ter cabelos loiros e uma pele clara."
"rabo de cavalo","rabo de cavalo",ponytail,8,"COD: um penteado em que o cabelo é puxado para trás e amarrado na parte de trás da cabeça."
"corte de cabelo","corte de cabelo",haircut,8,"COD: o estilo em que o cabelo de alguém é cortado."
estuprador,estuprador,rapist,8,"COD: um homem que comete estupro."
estuprado,estuprada,raped,1,"FN: tendo sido forçada (por um homem) a ter relações sexuais com (ele)"
"agredir sexualmente","agredir sexualmente","sexually assault",16,"FN: forçar (outra pessoa) a ter relações sexuais contra a sua vontade."
cintilação,Scintilação,scintillation,8,"COD: um relâmpago."
espécime,especimen,specimen,8,"COD: um exemplo de algo considerado típico de sua classe ou grupo, especialmente de plantas e animais"
"vestido de baile","vestido de baile",ballgown,8,"FN: um vestido longo, usado para a ocasião formal de um baile"
culote,culottes,culottes,8,"COD: calças de comprimento até o joelho para mulheres, com pernas muito cheias para parecer uma saia."
jodhpurs,Jodhpurs,jodhpurs,8,"COD: calças usadas para equitação que são justas abaixo do joelho e possuem reforços na parte interna da perna."
meia-calça,meia-calça,stocking,8,"COD: uma peça de roupa feminina que se ajusta de forma apertada ao pé e à perna, tipicamente feita de fios de nylon tricotados finos, sustentada por suspensórios ou uma tira elástica na coxa superior."
legging,legging,leggings,8,"COD: vestes protetoras para as pernas"
