idLU,lemmaName(en),senseDescription(en),idFrame,frameName,idPOS,lemmaName(pt),senseDescription(pt),idLemma(pt)
3991,copy,"COD: a thing made to be similar or identical to another. ",7,Duplication,83,cópia,"COD: uma coisa feita para ser semelhante ou idêntica a outra.",
3993,duplicate,"COD: one of two or more identical things. ",7,Duplication,83,duplicado,"COD: um de dois ou mais objetos idênticos.",
3994,duplicate,"COD: make or be an exact copy of. ",7,Duplication,86,duplicar,"COD: fazer ou ser uma cópia exata de.",
3995,photocopy,"COD: a photographic copy of something produced by a process involving the action of light on a specially prepared surface. ",7,Duplication,83,fotocópia,"COD: uma cópia fotográfica de algo produzida por um processo que envolve a ação da luz sobre uma superfície especialmente preparada.",
3996,photocopy,"COD: make a photocopy of. ",7,Duplication,86,fotocopiar,"COD: faça uma fotocópia de.",
3997,reduplicate,"COD: repeat or copy so as to form another of the same kind. ",7,Duplication,86,reduplicar,"COD: repetir ou copiar para formar outro do mesmo tipo.",
3999,reproduce,"COD: produce a copy or representation of. ",7,Duplication,86,reproduzir,"COD: produz uma cópia ou representação de.",
4001,duplication,"FN: the fact of making an exact copy",7,Duplication,83,duplicação,"FN: o fato de fazer uma cópia exata",
4003,clone,"FN: to produce an effectively indistinguishible copy of.",7,Duplication,86,clonar,"FN: para produzir uma cópia indiferenciávelmente eficaz de.",
32546,"in image","describes that some entity is created to have the likeness of another entity, like that of a copy",7,Duplication,89,similarmente,"descreve que alguma entidade é criada para ter a semelhança de outra entidade, como de uma cópia",
4004,counterfeit,"FN: to imitate, usually an emotion or event",8,Feigning,86,falsificar,"FN: imitar, geralmente uma emoção ou um evento",
4005,fake,"FN: to imitate an action or emotion intending to be believed",8,Feigning,86,fingir,"FN: imitar uma ação ou emoção com a intenção de ser acreditado",
4008,stage,"FN: fake or imitate",8,Feigning,86,fingir,"FN: falso ou imitado",
4009,affect,"FN: pretend to have a property or be in a particular state",8,Feigning,86,fingir,"FN: pretender ter uma propriedade ou estar em um determinado estado",
4012,amalgamate,"COD: combine or unite to form one organization or structure.",9,Cause_to_amalgamate,86,Amalgamar,"COD: Combine ou unifique para formar uma organização ou estrutura única.",
4014,fuse,"FN: to cause two or more entities to blend together",9,Cause_to_amalgamate,86,fundir,"FN: causar que duas ou mais entidades se fundam",
4016,merge,"FN: to cause one or more entities to become one",9,Cause_to_amalgamate,86,fundir,"FN: fazer com que uma ou mais entidades se tornem uma",
4017,unify,"COD: make or become united or uniform.",9,Cause_to_amalgamate,86,unificar,"COD: fazer ou tornar-se unido ou uniforme.",
4018,unite,"FN: to cause two or more entities to blend together to form a whole",9,Cause_to_amalgamate,86,unir,"FN: causar que duas ou mais entidades se fundam para formar um todo",
4019,meld,"FN: to cause one item to blend with at least one additional item",9,Cause_to_amalgamate,86,fundir,"FN: fazer com que um item se misture com pelo menos um item adicional",
4020,blend,"FN: to mix something with something else",9,Cause_to_amalgamate,86,misturar,"FN: misturar algo com outra coisa",
4021,commingle,"FN: to cause on item to blend together with another item",9,Cause_to_amalgamate,86,misturar,"FN: fazer com que um item se funde com outro item",
4022,intermix,"FN: to cause two or more items to become blended together",9,Cause_to_amalgamate,86,Intermisturar,"FN: causar que dois ou mais itens se fundam juntos",
4026,coalesce,"FN: bring together",9,Cause_to_amalgamate,86,coalescer,"FN: reunir",
4027,compound,"COD: mix or combine (ingredients or constituents).",9,Cause_to_amalgamate,86,compostar,"COD: mistura ou combina (ingredientes ou constituintes).",
4028,conflate,"COD: combine into one.",9,Cause_to_amalgamate,86,fundir,"COD: Combine em um.",
4029,consolidate,"COD: combine into a single unit.",9,Cause_to_amalgamate,86,consolidar,"COD: Combine em uma única unidade.",
4031,admix,"COD: mix with something else.",9,Cause_to_amalgamate,86,misturar,"COD: misturar com algo mais.",
4034,"throw together","FN: cause two or more things to be merged",9,Cause_to_amalgamate,86,juntar,"FN: causar duas ou mais coisas para serem fundidas",
4036,merger,"FN: The act of combining two or more entities into one. ""Chuck' s merger of the corpora won him an award.""",9,Cause_to_amalgamate,83,fusão,"FN: O ato de combinar duas ou mais entidades em uma. ""A fusão de Chuck dos corpora lhe rendeu um prêmio.",
4038,bisect,"FN: cut in two",10,Separating,86,bisectar,"FN: cortar ao meio",
4044,segregate,"COD: set apart from the rest or from each other. ",10,Separating,86,segregar,"COD: separado do resto ou uns dos outros.",
4048,sever,"FN: separate one part from another by cutting.",10,Separating,86,cortar,"FN: separar uma parte de outra cortando-a.",
4049,arch,"FN: To from or cause a curved structure.",11,Body_movement,86,arquear,"FN: Fazer ou causar uma estrutura curvada.",
4050,bat,"COD: flutter (one' s eyelashes).",11,Body_movement,86,piscar,"COD: Flutter (um' s cílios).",
4051,bend,"FN: to move a body part (usu the head or the extremities) so it forms a curve or angle with the body part it is attached to",11,Body_movement,86,curvar,"FN: mover uma parte do corpo (usu cabeça ou extremidades) de modo que forme uma curva ou ângulo com o corpo da qual está ligado.",
4053,bob,"COD: make or cause to make a quick, short movement up and down. ",11,Body_movement,86,balançar,"COD: fazer ou causar um movimento rápido, curto para cima e para baixo.",
4059,flap,"FN: (for a body part) to move or be moved up and down or from side to side",11,Body_movement,86,agitar,"FN: (para uma parte do corpo) mover-se ou ser movido para cima e para baixo ou de um lado para o outro",
4060,flex,"FN: contract a muscle (often in order to bend a joint)",11,Body_movement,86,contrair,"FN: contrair um músculo (frequentemente para dobrar uma articulação)",
4061,fling,"COD: throw forcefully; hurl.",11,Body_movement,86,arremessar,"COD: lançar com força; arremessar.",
4062,flutter,"FN: (usu for a straight, long body part) to move with a light irregular motion",11,Body_movement,86,tremular,"FN: (usu para uma parte do corpo reta e longa) mover-se com um movimento leve e irregular",
4063,gnash,"COD: grind (one' s teeth) together, especially as a sign of anger.",11,Body_movement,86,ranger,"COD: ranger os dentes, especialmente como sinal de raiva.",
4064,grind,"COD: rub together gratingly.",11,Body_movement,86,ranger,"COD: esfregar com coceira.",
4067,jerk,"COD: move quickly, sharply, suddenly",11,Body_movement,86,sacudir,"COD: mova-se rapidamente, afiado, de repente",
4069,nod,"FN: to allow (one' s head) to fall, droop",11,Body_movement,86,acenar,"FN: permitir que a cabeça caia, fique pendurada",
4070,pout,"FN: to sulk",11,Body_movement,86,emburrar,"FN: para ficar de mau humor",
4071,pucker,"COD: tightly gather or contract into wrinkles or small folds.",11,Body_movement,86,franzir,"COD: apertadamente reunir ou contrair em dobras ou pequenas dobras.",
4075,shrug,"COD: raise (one' s shoulders) slightly and momentarily to express doubt, ignorance, or indifference.",11,Body_movement,86,"dar de ombros","COD: erguer (ombros de alguém) ligeiramente e momentaneamente para expressar dúvida, ignorância ou indiferença.",
4076,shuffle,"COD: restlessly shift one' s position.",11,Body_movement,86,remexer-se,"COD: inquietamente mudar de posição uma.",
4080,toss,"COD: jerk (one' s head or hair) sharply backwards",11,Body_movement,86,sacudir,"COD: chacoalhão (cabeça ou cabelo) para trás com força",
4081,twitch,"COD: make or cause to make a short, sudden jerking movement.",11,Body_movement,86,contrair,"COD: fazer ou causar um movimento repentino e brusco curto.",
4082,wag,"COD: (especially with reference to an animal' s tail) move rapidly to and fro.",11,Body_movement,86,abanar,"COD: (especialmente com referência à cauda de um animal) mover-se rapidamente para trás e para frente.",
4088,curtsy,"COD: a woman' s or girl' s formal greeting made by bending the knees with one foot in front of the other.",11,Body_movement,83,reverência,"COD: um cumprimento formal feminino feito curvando os joelhos com um pé na frente do outro.",
4089,kneel,"COD: fall or rest on a knee or the knees.",11,Body_movement,86,ajoelhar-se,"COD: cair ou descansar no joelho ou nos joelhos.",
4091,wriggle,"COD: twist and turn with quick writhing movements",11,Body_movement,86,contorcer-se,"COD: torcer e virar com movimentos rápidos de retorcimento",
4093,fidget,"COD: make small movements through nervousness or impatience. ",11,Body_movement,86,remexer-se,"COD: fazer pequenos movimentos por nervosismo ou impaciência.",
4094,yawn,"COD: involuntarily open one' s mouth wide and inhale deeply due to tiredness or boredom.",11,Body_movement,86,bocejar,"COD: abrir involuntariamente a boca bem aberto e inalar profundamente devido à fadiga ou tédio.",
4095,jiggle,"COD: move lightly and quickly from side to side or up and down. ""The car jiggled on its springs.""",11,Body_movement,86,balançar,"COD: move de leve e rapidamente de um lado para o outro ou para cima e para baixo. ""O carro balançava em seus amortecedores.",
4097,curtsy,"COD: perform a curtsy",11,Body_movement,86,reverenciar,"COD: faça uma reverência",
4098,duck,"COD: lower the head or body quickly to avoid a blow or missile or so as not to be seen.",11,Body_movement,86,abaixar-se,"COD: abaixe rapidamente a cabeça ou o corpo para evitar um golpe ou projétil ou para não ser visto.",
4099,crease,"COD: make a crease in the skin, especially the face ",11,Body_movement,86,franzir,"COD: fazer uma dobra na pele, especialmente no rosto",
4102,close,"FN: to move (a bodypart) so that it is closed.",11,Body_movement,86,fechar,"FN: mover (uma parte do corpo) para que esteja fechado.",
4104,twiddle,"FN: move (one' s thumbs), generally as a humorously pointless way to spend time.",11,Body_movement,86,mexer,"FN: mexer com os polegares, geralmente de uma maneira sem sentido e engraçada para passar o tempo.",
4105,stamp,"FN: bring down (one' s foot) heavily on the ground or an object, perhaps crushing, or flattening it.",11,Body_movement,86,pisar,"FN: trazer para baixo (um' pé) fortemente no chão ou em um objeto, talvez esmagando, ou achatando-o.",
4106,crinkle,"COD: form or cause to form small creases or wrinkles.",11,Body_movement,86,franzir,"COD: forma ou causa pequenas dobras ou rugas.",
29445,open,"allowing access, passage, or a view through an empty space; not closed or blocked up.",11,Body_movement,84,aberto,"permitindo acesso, passagem ou uma visão através de um espaço vazio; não fechado ou bloqueado.",
4113,clasp,"COD: grasp tightly with one' s hand.",12,Manipulation,86,agarrar,"COD: agarre firmemente com uma mão.",
4114,claw,"COD: try desperately to move something with the hands.",12,Manipulation,86,arranhar,"COD: tentar desesperadamente mover algo com as mãos.",
4115,clutch,"FN: grasp and hold tightly",12,Manipulation,86,agarrar,"FN: agarre e mantenha firmemente",
4119,grip,"COD: take and keep a firm hold of; grasp tightly.",12,Manipulation,86,agarrar,"COD: pegar e manter uma firmeza de; apertar firmemente.",
4122,nip,"COD: pinch, squeeze, or bite sharp",12,Manipulation,86,beliscar,"COD: pinchar, apertar ou morder com força",
4125,pinch,"COD: grip (the flesh) tightly and sharply between finger and thumb. ",12,Manipulation,86,beliscar,"COD: apertar (a carne) firmemente e com força entre o dedo indicador e o polegar.",
4128,seize,"COD: take hold of suddenly and forcibly. ",12,Manipulation,86,agarrar,"COD: tomar de repente e à força.",
4130,tug,"FN: to pull on something hard and suddenly   ",12,Manipulation,86,puxar,"FN: puxar algo duro e de repente",
4132,wring,"COD: squeeze (someone' s hand) tightly. ",12,Manipulation,86,Apertar,"COD: apertar (a mão de alguém) com força.",
4133,yank,"FN: to tug on something causing it to move",12,Manipulation,86,puxar,"FN: puxar algo que o faz se mover",
4134,fumble,"COD:  use the hands clumsily while doing or handling something ",12,Manipulation,86,tatear,"COD: usar as mãos de forma desajeitada enquanto faz ou manipula algo",
4138,"grab hold","COD: grasp",12,Manipulation,86,agarrar,"COD: compreender",
4139,pull,"COD: an act of pulling something.",12,Manipulation,83,puxão,"COD: um ato de puxar algo.",
4146,diddle,"FN: to manipulate with the finger, usually irregularly",12,Manipulation,86,dedilhar,"FN: manipular com o dedo, geralmente de forma irregular",
4149,handle,"FN: hold (esp. said of merchandise).",12,Manipulation,86,manusear,"FN: segurar (especialmente dito de mercadorias).",
4151,poke,"FN: touch somewhat forcefully with the end of a relatively long, thin object.",12,Manipulation,86,cutucar,"FN: tocar com alguma força usando o extremo de um objeto relativamente longo e fino.",
4153,crouch,"FN: to be in a position where the knees are bent and the upper body is brought forward and down. ",13,Posture,86,agachar-se,"FN: estar em uma posição onde os joelhos estão flexionados e o tronco superior é levado para frente e para baixo.",
4154,hunch,"FN: to sit or stand in a position in which one' s shoulders and the top of one' s body are bent forward ",13,Posture,86,curvar-se,"FN: sentar ou ficar em uma posição na qual os ombros e o topo do corpo estão curvados para frente",
4158,lie,"FN: to be in a horizontal position on a supporting surface",13,Posture,86,deitar,"FN: estar em posição horizontal sobre uma superfície de apoio",
4160,sit,"COD: to be in a position in which one' s weight is supported by one' s buttocks rather than one' s feet and one' s back is upright. ",13,Posture,86,sentar-se,"COD: estar em uma posição na qual o peso é suportado pelo traseiro, em vez dos pés, e a coluna está ereta.",
4162,sprawl,"COD: sit, lie, or fall with one' s limbs spread out in an ungainly way. ",13,Posture,86,esparramar-se,"COD: sentar, deitar ou cair com as extremidades espalhadas de maneira desajeitada.",
4165,stoop,"FN: to bend one' s body forwards and downward",13,Posture,86,Curvar-se,"FN: dobrar o corpo para frente e para baixo",
4167,crouched,"FN: in a crouching posture.",13,Posture,84,agachado,"FN: em uma postura agachada.",
4168,huddled,"FN: having the limbs drawn in so that the body takes up little space.",13,Posture,84,encolhido,"FN: tendo as extremidades desenhadas de forma que o corpo ocupe pouco espaço.",
4170,sprawled,"FN: with one' s limbs spread out in an ungainly way",13,Posture,84,esparramado,"FN: com as extremidades espalhadas de uma maneira desajeitada",
4171,slouched,"FN: stand or sit in a lazy, drooping way with one' s muscles extremely relaxed",13,Posture,84,desleixado,"FN: ficar ou sentar de forma preguiçosa, pendurada com um relaxamento extremo dos músculos",
30661,kneel,"COD: fall or rest on a knee or the knees. ",13,Posture,86,Ajoelhar-se,"COD: cair ou descansar no joelho ou nos joelhos.",
34279,"lay back","To lay in a relaxed way.",13,Posture,86,deitar-se,"Deitar-se de forma relaxada.",
4186,hunch,"COD: a feeling or guess based on intuition.",14,Awareness,83,pressentimento,"COD: um sentimento ou uma suposição baseada na intuição.",
4190,knowledgable,"COD: intelligent and well informed.",14,Awareness,84,conhecedor,"COD: inteligente e bem informado.",
4191,presume,"FN: assume that something is the case absent proof to the contrary",14,Awareness,86,presumir,"FN: assume que algo é o caso ausente prova em contrário",
4192,presumption,"COD: an act or instance of presuming something to be the case.",14,Awareness,83,presunção,"COD: um ato ou instância de presumir algo como sendo o caso.",
4194,supposition,"COD: an assumption or hypothesis.",14,Awareness,83,Suposição,"COD: uma suposição ou hipótese.",
4196,suspicion,"COD: a feeling that something is possible or probable or that someone is guilty of a crime or offence.",14,Awareness,83,suspeita,"COD: um sentimento de que algo é possível ou provável, ou que alguém é culpado de um crime ou ofensa.",
4200,understanding,"COD: the ability to understand something; comprehension",14,Awareness,83,compreensão,"COD: a capacidade de compreender algo; compreensão",
4201,ignorance,"FN: the state of lacking knowledge or awareness in general.",14,Awareness,83,Ignorância,"FN: o estado de falta de conhecimento ou consciência em geral.",
18960,clue,"(with negation or question, usually with ""have"") knowledge.",14,Awareness,83,ideia,"conhecimento (com negação ou questão, geralmente com ""tem"")",
40021,saber,,14,Awareness,83,conhecimento,,
4215,espy,"COD: catch sight of",15,Becoming_aware,86,Avistar,Vê-lo,
4221,come,"FN: encounter a new phenomenon",15,Becoming_aware,86,perceber,"FN: encontrar um novo fenômeno",
4222,come,"FN: discover a new phenomenon.",15,Becoming_aware,86,chegar,"FN: descobrir um novo fenômeno.",
4229,observe,"FN: detect a phenomenon",15,Becoming_aware,86,observar,"FN: detectar um fenômeno",
4231,"find out","FN: discover information or a fact.",15,Becoming_aware,86,descubrir,"FN: descobrir informação ou um facto.",
4232,tell,"FN: to recognize with one or more of the senses",15,Becoming_aware,86,perceber,"FN: reconhecer com um ou mais dos sentidos",
4234,categorization,"FN: the act of categorizing",16,Categorization,83,categorização,"FN: o ato de classificar",
4235,categorize,"COD: place in a particular category; classify.",16,Categorization,86,classificar,"COD: lugar em uma categoria específica; classificar.",
4243,regard,"COD: consider in a particular way.",16,Categorization,86,considerar,"COD: considere de uma maneira particular.",
4246,peg,"FN: to place in a particular category",16,Categorization,86,categorizar,"FN: colocar em uma categoria específica",
4247,pigeonhole,"COD: assign to a particular category, especially an overly restrictive one",16,Categorization,86,rotular,"COD: atribuir a uma categoria específica, especialmente uma muito restritiva",
4248,stereotype,"COD: view or represent as a stereotype",16,Categorization,86,estereotipar,"COD: ver ou representar como um estereótipo",
4249,typecast,"COD:  regard as fitting a stereotype",16,Categorization,86,estereotipar,"COD: considerar como encaixando-se em um estereótipo",
4253,define,"FN: distinguish or characterize",16,Categorization,86,definir,"Distinguir ou caracterizar",
4259,bracket,"FN: consider to be a member of a group or type.",16,Categorization,86,categorizar,"FN: considerar-se como membro de um grupo ou tipo.",
4264,consideration,"COD: careful thought",17,Cogitation,83,consideração,"COD: pensamento cuidadoso",
4267,deliberate,"COD: engage in long and careful consideration",17,Cogitation,86,deliberar,"COD: envolver-se em uma longa e cuidadosa consideração",
4268,deliberation,"COD: the action or process of engaging in long and careful consideration",17,Cogitation,83,deliberação,"COD: a ação ou processo de se envolver em longa e cuidadosa consideração",
4269,dwell,"COD: think, speak, or write at length about.",17,Cogitation,86,discorrer,"COD: pensar, falar ou escrever sobre extensivamente.",
4271,meditation,"COD: a discourse expressing considered thoughts on a subject",17,Cogitation,83,discurso,"COD: um discurso expressando pensamentos considerados sobre um assunto",
4272,"mull over","COD: think about at length.",17,Cogitation,86,refletir,"COD: pense profundamente.",
4277,ruminate,"COD: think deeply about something.",17,Cogitation,86,ruminar,"COD: pense profundamente sobre algo.",
4280,"give thought","FN: give careful consideration or attention.",17,Cogitation,96,"dar atenção","FN: dar consideração ou atenção cuidadosa.",
34277,"feel like","To think an information is real.",17,Cogitation,86,achar,"Achar que uma informação é real.",
4287,guess,"COD: an estimate or conjecture",18,Coming_to_believe,83,Palpite,"COD: uma estimativa ou conjetura",
4289,infer,"COD: deduce from evidence and reasoning rather than from explicit statements.",18,Coming_to_believe,86,Inferir,"COD: deduz de evidências e raciocínio em vez de declarações explícitas.",
4290,inference,"COD: a conclusion reached on the basis of evidence and reasoning.",18,Coming_to_believe,83,Inferência,"COD: uma conclusão alcançada com base em evidências e raciocínio.",
4293,realize,"COD: become fully aware of as a fact; understand clearly.",18,Coming_to_believe,86,perceber,"COD: tornar-se plenamente consciente de como um fato; compreender claramente.",
4297,"puzzle out","FN: figure out",18,Coming_to_believe,86,Descobrir,Descobrir,
4301,speculate,"COD: form a theory or conjecture without firm evidence.",18,Coming_to_believe,86,especular,"COD: formular uma teoria ou conjetura sem evidências firmes.",
4306,discriminate,"COD: recognize a distinction.",19,Differentiation,86,discriminar,"COD: reconhecer uma distinção.",
4307,discrimination,"COD: recognition and understanding of the difference between one thing and another",19,Differentiation,83,discriminação,"COD: reconhecimento e compreensão da diferença entre uma coisa e outra",
4310,"tell apart","FN: distinguish.",19,Differentiation,86,distinguir,"FN: distinguir.",
4313,"tell from","FN: distinguish some thing from another",19,Differentiation,86,distinguir,"FN: distinguir alguma coisa de outra",
4314,distinguishable,"FN: able to be separated into separate identities.",19,Differentiation,84,distinguível,"FN: capaz de ser separado em identidades separadas.",
4318,corroborate,"COD: confirm or give support to (a statment or theory)",20,Evidence,86,corroborar,"COD: confirmar ou dar apoio a (uma afirmação ou teoria)",
4319,demonstrate,"COD:  clearly show the existence or truth of. ",20,Evidence,86,demonstrar,"COD: mostrar claramente a existência ou verdade de.",
4321,evince,"COD: reveal the presence of; indicate (a quality or feeling). ",20,Evidence,86,evidenciar,"COD: revelar a presença de; indicar (uma qualidade ou sentimento).",
4325,substantiate,"COD: provide evidence to support or prove the truth of. ",20,Evidence,86,substanciar,"COD: fornecer evidências para apoiar ou provar a verdade de.",
4328,disprove,"FN: to prove something to be false as a piece of evidence",20,Evidence,86,Refutar,"FN: provar que algo é falso como evidência",
4329,contradict,"FN: the truth of (a statement) by asserting the opposite",20,Evidence,86,contradizer,"FN: a verdade de (uma afirmação) ao afirmar o contrário",
4330,argue,"FN: to be evidence for a conclusion",20,Evidence,86,indicar,"FN: ser evidência para uma conclusão",
4336,imply,"COD: (of a fact or occurrence) suggest as a logical consequence.",20,Evidence,86,implicar,"COD: (de um fato ou ocorrência) sugerir como uma consequência lógica.",
4339,illustrate,"COD: serve as an example of.",20,Evidence,86,ilustrar,"COD: serve como um exemplo de.",
4340,"point to","FN: (of some fact or state of affairs) to provide evidence for a conclusion.",20,Evidence,86,apontar,"FN: (de algum fato ou estado de coisas) fornecer evidência para uma conclusão.",
4343,tell,"FN: to be evidence for a conclusion",20,Evidence,86,indicar,"FN: ser evidência para uma conclusão",
4344,"rule out","FN: to be rejected from a list of possible options by a non-agentive entity",20,Evidence,86,excluir,"FN: ser rejeitado de uma lista de opções possíveis por uma entidade não-agenteiva",
4346,assure,"FN: (of a fact or situation) show (someone) that something is true.",20,Evidence,86,assegurar,"FN: (de um fato ou situação) mostrar (a alguém) que algo é verdadeiro.",
29352,correspond,"be a sign or symptom of; strongly imply.",20,Evidence,86,corresponder,"ser um sinal ou sintoma de; implicar fortemente.",
4347,anticipate,"COD: regard as probable",21,Expectation,86,antecipar,"COD: como provável",
4348,await,"COD: wait for",21,Expectation,86,aguardar,"Cod: espere por",
4352,predictable,"COD: able to be predicted",21,Expectation,84,previsível,"CAP: capaz de ser previsto",
4354,unforeseeable,"FN: which cannot be foreseen",21,Expectation,84,Imprevisível,"FN: que não pode ser previsto",
4355,foreseeable,"FN: able to be anticipated",21,Expectation,84,previsível,"FN: capaz de ser antecipado",
4358,premonition,"COD: a strong feeling that something is about to happen.",21,Expectation,83,premonição,"COD: uma forte sensação de que algo está prestes a acontecer.",
4359,unexpected,"COD: not expected or regarded as likely to happen.",21,Expectation,84,inesperado,"COD: não esperado ou considerado como provável de acontecer.",
4362,concoct,"COD: create or devise (a story or plan)",22,Coming_up_with,86,inventar,"COD: criar ou inventar (uma história ou plano)",
4363,concoction,"FN: the process or result of creating or devising (a story or plan)",22,Coming_up_with,83,concepção,"FN: o processo ou resultado de criar ou inventar (uma história ou plano)",
4364,contrivance,"COD: the action of devising or planning something using skill and artifice. ",22,Coming_up_with,83,Artifício,"COD: a ação de inventar ou planejar algo usando habilidade e artifício.",
4365,contrive,"COD: devise or plan using skill and artifice",22,Coming_up_with,86,conceber,"COD: dispositivo ou plano usando habilidade e engenhosidade",
4370,hatch,"COD: conspire to devise (a plot or plan).",22,Coming_up_with,86,tramar,"COD: conspirar para elaborar (um plano ou projeto).",
4371,improvise,"COD: produce or make (something) from whatever is available.",22,Coming_up_with,86,improvisar,"COD: produzir ou fazer (algo) com o que está disponível.",
4374,"come up","FN: invent; make up (an idea, a story, etc.)",22,Coming_up_with,86,Inventar,"Inventar; criar (uma ideia, uma história, etc.)",
4376,"think up","FN: come up with (an idea, a story, etc.)",22,Coming_up_with,86,Inventar,"FN: venha com (uma ideia, uma história, etc.)",
30719,"come up (with)","FN: invent; make up (an idea, a story, etc.)",22,Coming_up_with,86,"vir com (algo)","Inventar; criar (uma ideia, uma história, etc.)",
4380,admiration,"FN: positive response (emotional or spoken) to the good qualities of someone or something",23,Judgment,83,admiração,"FN: resposta positiva (emocional ou falada) às qualidades boas de alguém ou algo",
4382,admiring,"FN: feeling admiration",23,Judgment,84,Admirado,"Sentindo admiração",
4385,appreciation,"FN: Perceptive recognition of value, significance or qualities.",23,Judgment,83,Apreciação,"FN: Reconhecimento perceptivo do valor, da importância ou das qualidades.",
4387,approving,"FN: to be in a state of having judged something as good or right, to authorise",23,Judgment,84,aprovador,"FN: estar em um estado de ter julgado algo como bom ou certo, para autorizar",
4388,blame,"COD:  responsibility for a fault or wrong.",23,Judgment,83,culpa,"COD: responsabilidade por um defeito ou erro.",
4389,blame,"FN: to assign responsibility for a wrong-doing, without expressing so",23,Judgment,86,culpar,"FN: atribuir responsabilidade por um ato errado, sem expressá-lo",
